WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,RelativeHumidity,DewPoint,AirTemperature,Rainfall,MeanSeaLevelPressure,LandVisibility,StationPressure,WindSpeed,WindDirection,VaporPressure
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.01,10-08-2019,04:00:00,92,23.1,24.4,0.00,1009.86,6.00,990.77,0.0,000,28.20
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,10-08-2019,04:00:00,94,20.1,21.2,0.00,1012.20,5.00,959.96,0.0,000,23.52
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.90,10-08-2019,04:00:00,94,23.0,24.0,0.00,1010.78,5.00,1006.77,0.0,000,28.01
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,4.00,10-08-2019,04:00:00,95,17.2,18.0,1.00,1012.27,4.00,915.61,0.0,000,19.57
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1.10,10-08-2019,04:00:00,94,23.1,24.1,0.00,1010.50,6.00,994.31,0.0,000,28.19
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,6.90,10-08-2019,04:00:00,96,22.9,23.5,0.00,1010.70,8.00,1006.61,0.0,000,27.92
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-08-2019,04:00:00,95,22.7,23.6,0.00,1011.01,5.00,1000.18,0.0,000,27.58
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.30,10-08-2019,04:00:00,92,23.5,25.0,0.00,1009.93,8.00,1007.99,0.0,000,29.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-08-2019,04:00:00,92,23.8,25.1,0.00,1009.84,10.00,988.79,0.0,000,29.44
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-08-2019,04:00:00,93,23.1,24.3,0.00,1009.86,10.00,991.99,0.0,000,28.28
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-08-2019,04:00:00,92,23.5,25.0,0.00,1009.63,10.00,993.33,0.0,000,29.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-08-2019,04:00:00,90,23.2,25.0,0.00,1010.16,8.00,995.99,0.0,000,28.48
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-08-2019,04:00:00,95,23.4,24.3,0.00,1010.73,8.00,995.71,0.0,000,28.79
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,5.40,10-08-2019,04:00:00,99,24.3,24.5,0.00,1010.82,4.00,995.97,0.0,000,30.46
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,2.50,10-08-2019,04:00:00,95,22.9,23.8,0.00,1010.27,8.00,1007.21,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",27.92
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,5.50,10-08-2019,04:00:00,94,23.7,24.7,0.00,1010.18,7.00,1002.15,0.0,000,29.25
