WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,StationPressure,WindSpeed,LandVisibility,MaximumTemperature,WindDirection,Rainfall,AirTemperature,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,28.12,09-30-2019,19:00:00,23.0,991.85,0.0,8.00,36.6,000,0.00,30.3,0.00,65,1008.12
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,26.25,09-30-2019,19:00:00,21.9,984.87,0.0,10.00,35.0,000,0.00,29.3,0.30,64,1007.01
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.26,09-30-2019,19:00:00,23.1,994.34,0.0,6.00,35.7,000,0.00,29.8,0.00,67,1008.62
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,33.78,09-30-2019,19:00:00,26.1,991.89,0.0,7.00,34.7,000,0.00,27.5,0.60,92,1008.26
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,30.91,09-30-2019,19:00:00,24.6,1002.87,0.0,6.00,34.5,000,0.00,30.3,0.00,72,1008.05
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,32.38,09-30-2019,19:00:00,25.4,993.32,0.0,12.00,36.4,000,0.00,30.6,0.00,74,1006.35
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,29.27,09-30-2019,19:00:00,23.7,998.47,0.0,5.00,35.0,000,0.00,29.9,0.00,69,1007.71
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,29.05,09-30-2019,19:00:00,23.6,986.82,1.9,7.00,35.0,140,0.00,29.5,0.00,70,1008.35
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,29.08,09-30-2019,19:00:00,23.6,991.39,0.0,10.00,34.8,000,0.00,29.8,0.00,69,1008.76
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.96,09-30-2019,19:00:00,22.9,992.35,0.0,10.00,34.0,000,0.00,29.5,0.00,68,1008.06
