WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,VaporPressure,WindSpeed,StationPressure,AirTemperature,DewPoint,RelativeHumidity,WindDirection,MeanSeaLevelPressure,MaximumTemperature,LandVisibility
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-25-2019,19:00:00,0.00,31.95,0.0,1006.40,28.0,25.1,85,000,1009.96,31.5,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-25-2019,19:00:00,0.00,31.89,0.0,1009.84,29.8,25.1,76,000,1010.27,31.5,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-25-2019,19:00:00,0.00,33.37,3.7,1008.59,29.4,25.9,81,120,1009.57,31.9,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,3.00,07-25-2019,19:00:00,0.00,26.92,5.6,1009.40,26.9,22.3,76,080,1010.22,31.6,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-25-2019,19:00:00,0.00,30.31,0.0,1008.51,28.3,24.3,79,000,1010.32,31.4,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1.00,07-25-2019,19:00:00,0.00,28.71,7.4,1009.55,27.6,23.4,78,240,1010.30,30.5,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1.40,07-25-2019,19:00:00,0.40,29.46,0.0,1006.60,25.4,23.8,91,000,1010.63,33.0,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.40,07-25-2019,19:00:00,0.00,29.88,0.0,1009.71,27.5,24.0,81,000,1010.39,32.4,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,22.20,07-25-2019,19:00:00,2.00,29.79,0.0,1009.14,25.0,24.0,94,000,1010.26,32.1,9.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-25-2019,19:00:00,0.00,31.62,0.0,1007.44,28.4,25.0,82,000,1010.35,32.9,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,07-25-2019,19:00:00,0.00,30.29,0.0,1009.27,29.0,24.3,76,000,1009.95,33.8,8.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,3.20,07-25-2019,19:00:00,0.00,32.68,3.7,1006.83,27.8,25.5,88,120,1010.96,33.8,8.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.30,07-25-2019,19:00:00,0.00,29.19,0.0,1009.78,28.0,23.6,77,000,1010.37,29.8,10.00
