WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindDirection,VaporPressure,MaximumTemperature,WindSpeed,Rainfall,Rainfall24Hr,DewPoint,LandVisibility,RelativeHumidity,AirTemperature,MeanSeaLevelPressure
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,987.42,08-01-2019,19:00:00,000,28.35,34.2,0.0,0.20,0.40,23.2,8.00,78,27.4,1003.73
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,998.87,08-01-2019,19:00:00,000,30.97,30.8,0.0,1.40,2.40,24.6,10.00,89,26.5,1004.10
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,989.61,08-01-2019,19:00:00,000,31.38,29.4,0.0,1.60,15.70,24.8,7.00,88,27.0,1002.75
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,994.74,08-01-2019,19:00:00,000,34.57,32.2,0.0,0.00,8.50,26.5,10.00,90,28.3,1003.99
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,981.33,08-01-2019,19:00:00,230,28.61,30.6,13.0,0.00,7.20,23.3,10.00,78,27.4,1002.89
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,986.07,08-01-2019,19:00:00,230,30.56,32.0,14.8,0.00,5.20,24.4,10.00,81,28.0,1003.44
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,986.03,08-01-2019,19:00:00,230,28.80,29.6,5.6,0.00,63.20,23.4,10.00,78,27.5,1001.75
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,983.12,08-01-2019,19:00:00,210,29.90,30.8,13.0,0.00,1.20,24.0,8.00,80,27.8,1001.86
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,954.79,08-01-2019,19:00:00,000,25.60,26.2,0.0,7.20,28.90,21.5,7.00,91,23.0,1006.43
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,999.70,08-01-2019,19:00:00,000,31.63,30.6,0.0,3.40,6.30,25.0,7.00,90,26.7,1003.65
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,909.83,08-01-2019,19:00:00,230,23.41,21.9,22.2,7.60,54.30,20.0,.25,97,20.5,1005.03
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,986.59,08-01-2019,19:00:00,250,28.30,30.8,7.4,0.00,16.00,23.1,8.00,74,28.1,1002.45
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1000.67,08-01-2019,19:00:00,000,34.07,32.0,0.0,0.10,2.30,26.2,6.00,89,28.2,1004.68
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,994.96,08-01-2019,19:00:00,000,31.03,31.0,0.0,0.60,4.60,24.7,9.00,92,26.1,1005.65
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1003.30,08-01-2019,19:00:00,210,27.50,31.8,5.6,0.30,2.60,22.7,8.00,72,28.1,1005.22
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,983.59,08-01-2019,19:00:00,240,27.82,29.6,11.1,0.00,2.60,22.8,12.00,76,27.4,1004.37
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,985.09,08-01-2019,19:00:00,250,27.77,29.5,9.3,0.00,4.30,22.8,10.00,73,28.1,1002.61
