WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,DewPoint,RelativeHumidity,AirTemperature,LandVisibility,Rainfall24Hr,WindDirection,WindSpeed,MeanSeaLevelPressure,StationPressure,VaporPressure
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,12.70,07-31-2019,04:00:00,24.6,97,25.0,10.00,12.70,000,0.0,1003.57,981.82,30.85
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-31-2019,04:00:00,25.1,92,26.5,10.00,2.50,000,0.0,1003.96,986.48,31.79
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-31-2019,04:00:00,24.3,96,25.0,10.00,13.30,000,0.0,1002.61,986.74,30.32
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,4.10,07-31-2019,04:00:00,24.4,97,24.8,8.00,4.40,000,0.0,1002.62,983.69,30.48
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,07-31-2019,04:00:00,19.2,88,21.3,5.00,7.50,000,0.0,1006.73,954.79,22.30
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.70,07-31-2019,04:00:00,22.6,88,24.7,6.00,0.80,000,0.0,1004.01,1000.03,27.44
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.10,07-31-2019,04:00:00,19.7,95,20.5,3.00,1.80,190,18.5,1006.02,910.72,22.95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-31-2019,04:00:00,23.2,90,25.0,6.00,12.50,270,5.6,1003.57,987.54,28.48
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-31-2019,04:00:00,23.9,85,26.7,10.00,0.00,050,1.9,1005.09,1001.06,29.72
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-31-2019,04:00:00,23.0,87,25.4,7.00,0.20,000,0.0,1006.66,995.93,28.15
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-31-2019,04:00:00,22.6,80,26.3,8.00,0.00,150,3.7,1005.30,1003.37,27.41
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,2.00,07-31-2019,04:00:00,23.1,93,24.3,10.00,5.80,230,3.7,1003.95,982.97,28.28
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1.10,07-31-2019,04:00:00,23.0,92,24.3,7.00,17.50,260,14.8,1003.74,985.97,28.02
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.40,07-31-2019,04:00:00,23.5,92,25.0,10.00,12.40,270,11.1,1003.55,987.34,29.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,5.40,07-31-2019,04:00:00,24.3,96,25.0,10.00,29.60,000,0.0,1003.46,989.39,30.32
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,5.80,07-31-2019,04:00:00,24.0,97,24.6,7.00,23.70,000,0.0,1003.95,989.05,29.85
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.60,07-31-2019,04:00:00,23.6,89,25.5,6.00,0.80,240,11.1,1003.98,989.28,29.11
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-31-2019,04:00:00,23.1,79,27.1,10.00,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,1004.93,1001.92,28.33
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.20,07-31-2019,04:00:00,23.6,92,24.9,7.00,8.00,000,0.0,1004.80,996.81,29.08
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-31-2019,04:00:00,21.8,74,26.7,8.00,0.00,230,11.1,1005.83,1004.72,26.05
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1.80,07-31-2019,04:00:00,22.9,90,24.7,7.00,12.90,000,0.0,1006.15,991.36,27.95
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,07-31-2019,04:00:00,17.4,98,17.7,.05,0.00,280,11.1,1007.46,871.65,19.81
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.20,07-31-2019,04:00:00,24.5,91,26.1,10.00,0.20,000,0.0,1005.02,999.13,30.76
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-31-2019,04:00:00,20.8,65,27.9,8.00,0.00,230,9.3,1005.99,1005.19,24.56
