WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,VaporPressure,RelativeHumidity,StationPressure,Rainfall,DewPoint,MinimumTemperature,WindDirection,AirTemperature
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,09-14-2019,07:00:00,12.00,1009.13,0.00,29.52,93,987.23,0.00,23.8,24.0,000,25.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,09-14-2019,07:00:00,15.00,1008.35,0.00,30.92,93,988.78,0.00,24.6,24.8,000,25.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.9,09-14-2019,07:00:00,12.00,1009.21,0.00,29.91,92,992.35,0.00,24.0,24.5,030,25.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,09-14-2019,07:00:00,8.00,1009.32,0.00,29.41,96,991.74,0.00,23.8,23.2,000,24.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,3.7,09-14-2019,07:00:00,11.00,1007.55,0.00,31.00,93,981.68,0.00,24.6,25.2,080,25.8
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,3.7,09-14-2019,07:00:00,10.00,1006.93,0.00,32.76,98,1001.13,0.00,25.6,25.0,310,26.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,09-14-2019,07:00:00,1.00,1007.26,1.40,32.34,99,1001.03,0.00,25.3,25.0,000,25.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,09-14-2019,07:00:00,12.00,1008.72,1.50,29.41,96,992.12,0.00,23.8,23.8,000,24.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,09-14-2019,07:00:00,8.00,1007.41,0.00,29.41,96,984.90,0.00,23.8,24.0,000,24.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,09-14-2019,07:00:00,10.00,1007.23,0.00,28.92,83,992.83,0.00,23.5,25.8,000,26.7
