WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,WindDirection,DewPoint,LandVisibility,Rainfall,VaporPressure,WindSpeed,RelativeHumidity,StationPressure,MeanSeaLevelPressure
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,34.2,10-02-2019,13:00:00,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",25.1,7.00,0.00,31.77,0.0,59,1006.60,1009.55
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,34.3,10-02-2019,13:00:00,0.00,320,25.8,10.00,0.00,33.20,5.6,61,1001.32,1009.09
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,33.7,10-02-2019,13:00:00,0.00,210,25.7,8.00,0.00,33.08,9.3,63,1008.70,1009.79
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,32.0,10-02-2019,13:00:00,0.00,000,20.8,8.00,0.00,24.57,0.0,52,995.84,1010.33
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.9,10-02-2019,13:00:00,18.40,000,20.3,5.00,18.40,23.77,0.0,96,876.47,1011.46
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,34.1,10-02-2019,13:00:00,0.00,180,26.2,8.00,0.00,33.97,5.6,64,1003.45,1009.21
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,35.7,10-02-2019,13:00:00,0.00,240,25.2,9.00,0.00,32.04,5.6,55,1008.94,1009.72
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,32.7,10-02-2019,13:00:00,0.00,230,27.5,10.00,0.00,36.68,14.8,74,1009.64,1010.08
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,33.5,10-02-2019,13:00:00,0.00,340,21.8,10.00,0.00,26.04,5.6,50,999.02,1010.12
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,35.2,10-02-2019,13:00:00,0.00,000,24.4,8.00,0.00,30.65,0.0,54,1008.64,1009.63
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,33.3,10-02-2019,13:00:00,0.00,180,25.0,10.00,0.00,31.62,3.7,62,1007.96,1009.75
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,33.1,10-02-2019,13:00:00,0.00,000,23.8,9.00,0.00,29.46,0.0,58,1008.37,1009.12
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,33.0,10-02-2019,13:00:00,0.00,200,24.3,9.00,0.00,30.40,11.1,60,1009.12,1009.81
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,35.2,10-02-2019,13:00:00,0.00,240,25.1,7.00,0.00,31.85,5.6,56,1007.82,1008.51
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,32.9,10-02-2019,13:00:00,0.00,000,23.9,7.00,0.00,29.62,0.0,59,988.24,1009.03
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,32.4,10-02-2019,13:00:00,0.00,150,25.4,9.00,0.00,32.36,3.7,67,993.38,1009.85
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,34.2,10-02-2019,13:00:00,0.00,180,22.3,10.00,0.00,26.85,3.7,50,993.92,1010.01
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,33.6,10-02-2019,13:00:00,50.50,050,25.0,6.00,0.00,31.67,3.7,61,987.79,1009.22
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,31.8,10-02-2019,13:00:00,0.00,270,22.8,4.00,0.00,27.71,11.1,59,966.26,1008.91
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,33.7,10-02-2019,13:00:00,3.60,240,24.2,12.00,0.00,30.12,5.6,58,989.14,1009.30
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,31.9,10-02-2019,13:00:00,0.00,120,27.2,6.00,0.00,36.09,3.7,76,991.02,1011.60
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,31.8,10-02-2019,13:00:00,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.5,10.00,0.00,30.81,0.0,66,1009.46,1009.89
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,33.5,10-02-2019,13:00:00,0.00,000,25.8,11.00,0.00,33.25,0.0,64,1008.37,1009.76
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,33.0,10-02-2019,13:00:00,12.60,000,26.6,9.00,0.00,34.88,0.0,69,1004.96,1009.81
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,34.7,10-02-2019,13:00:00,6.50,240,23.4,10.00,0.00,28.71,11.1,52,1006.19,1009.40
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,34.5,10-02-2019,13:00:00,0.00,000,24.6,10.00,0.00,30.93,0.0,57,1008.84,1009.93
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,33.5,10-02-2019,13:00:00,0.00,220,25.0,10.00,0.00,31.75,13.0,61,1009.35,1009.65
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,33.8,10-02-2019,13:00:00,0.00,240,24.9,10.00,0.00,31.50,9.3,60,1008.86,1009.53
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,34.0,10-02-2019,13:00:00,0.00,150,25.4,8.00,0.00,32.53,9.3,61,1008.79,1009.27
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,34.0,10-02-2019,13:00:00,57.20,110,24.5,8.00,0.00,30.75,14.8,58,1008.45,1009.83
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,29.6,10-02-2019,13:00:00,1.20,220,27.1,7.00,0.00,35.86,13.0,87,1008.54,1010.21
