WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,RelativeHumidity,Rainfall,VaporPressure,StationPressure,Rainfall24Hr,MinimumTemperature,DewPoint,AirTemperature,MeanSeaLevelPressure,WindDirection,LandVisibility
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,08-29-2019,07:00:00,96,0.00,32.59,987.44,0.00,25.9,25.5,26.2,1004.17,000,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,08-29-2019,07:00:00,96,0.00,33.38,986.89,0.00,24.8,25.9,26.6,1004.27,000,12.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,3.7,08-29-2019,07:00:00,98,0.00,32.45,978.47,0.00,25.7,25.4,25.7,1004.26,310,6.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,5.6,08-29-2019,07:00:00,91,0.00,31.33,999.05,0.00,23.4,24.8,26.4,1004.84,270,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,08-29-2019,07:00:00,95,0.00,32.91,999.21,0.00,26.3,25.6,26.5,1005.40,000,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,08-29-2019,07:00:00,95,0.00,31.17,989.58,0.60,25.0,24.7,25.6,1006.08,000,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,08-29-2019,07:00:00,93,0.00,29.16,982.82,1.20,24.0,23.6,24.8,1005.25,000,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,08-29-2019,07:00:00,84,0.00,29.08,991.71,0.00,25.5,23.6,26.5,1006.10,000,7.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-29-2019,07:00:00,81,0.00,29.60,989.46,0.00,25.0,23.9,27.5,1005.79,000,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,3.7,08-29-2019,07:00:00,86,0.00,30.18,999.90,0.00,26.0,24.2,26.8,1005.12,290,10.00
