WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,DewPoint,Rainfall,StationPressure,WindDirection,VaporPressure,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,LandVisibility
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,9.3,07-14-2019,13:00:00,31.8,24.7,0.00,998.23,320,31.10,0.00,66,1006.05,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,11.1,07-14-2019,13:00:00,32.7,23.7,0.00,1006.73,250,29.21,0.00,59,1007.82,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,07-14-2019,13:00:00,33.0,24.5,0.00,992.63,000,30.69,0.00,61,1007.03,10.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,14.8,07-14-2019,13:00:00,24.3,20.3,0.00,872.30,290,23.81,0.80,78,1005.04,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,07-14-2019,13:00:00,32.2,25.6,0.00,1000.71,000,32.82,0.00,68,1006.49,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,13.0,07-14-2019,13:00:00,33.9,26.4,0.00,1006.24,240,34.44,0.00,65,1007.02,9.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,16.7,07-14-2019,13:00:00,32.2,25.3,0.00,1006.91,230,32.23,0.00,67,1007.35,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,7.4,07-14-2019,13:00:00,31.1,24.2,0.00,997.46,030,30.25,8.60,67,1008.62,7.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,5.6,07-14-2019,13:00:00,33.9,21.9,0.00,1005.99,350,26.26,0.00,50,1006.98,12.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,5.6,07-14-2019,13:00:00,33.0,23.5,0.00,1005.16,190,28.97,0.00,58,1006.95,9.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,7.4,07-14-2019,13:00:00,33.4,21.6,0.00,1006.12,260,25.84,0.00,50,1006.87,9.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.1,07-14-2019,13:00:00,35.2,23.0,0.00,1006.28,290,28.01,0.40,49,1006.96,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,3.7,07-14-2019,13:00:00,34.1,24.0,0.00,1006.02,270,29.79,0.10,56,1006.71,10.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,14.8,07-14-2019,13:00:00,35.2,23.3,0.00,984.65,290,28.59,0.00,50,1005.20,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,5.6,07-14-2019,13:00:00,34.1,23.2,0.00,988.42,240,28.35,15.50,53,1004.72,9.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,9.3,07-14-2019,13:00:00,34.4,24.2,0.00,989.14,180,30.13,7.30,55,1005.15,10.00
