WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall,WindSpeed,StationPressure,RelativeHumidity,DewPoint,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,AirTemperature,WindDirection
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,07-25-2019,22:00:00,0.20,0.0,1010.04,93,23.8,4.10,29.52,1010.73,25.0,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,6.00,07-25-2019,22:00:00,0.00,0.0,1009.11,95,25.1,4.20,31.93,1010.64,26.0,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,07-25-2019,22:00:00,0.00,0.0,1010.45,84,24.6,0.00,30.97,1011.36,27.5,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,07-25-2019,22:00:00,0.00,0.0,1010.41,82,24.3,0.00,30.45,1011.09,27.8,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,8.00,07-25-2019,22:00:00,0.00,0.0,1010.59,90,25.0,0.00,31.63,1011.39,26.7,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,07-25-2019,22:00:00,0.00,0.0,1010.47,88,24.8,0.00,31.38,1011.11,27.0,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,07-25-2019,22:00:00,0.00,0.0,1010.69,92,26.1,0.00,33.78,1011.09,27.5,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,6.00,07-25-2019,22:00:00,0.00,0.0,1008.59,89,24.4,0.00,30.59,1012.83,26.3,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,07-25-2019,22:00:00,0.00,0.0,1009.49,95,25.5,0.00,32.71,1011.11,26.4,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10.00,07-25-2019,22:00:00,0.00,0.0,1008.03,92,24.6,0.00,30.84,1011.53,26.0,000
