WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,DewPoint,MeanSeaLevelPressure,Rainfall,VaporPressure,WindDirection,WindSpeed,RelativeHumidity,StationPressure,LandVisibility
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-19-2019,04:00:00,27.5,23.9,1005.43,0.00,29.60,220,1.9,81,986.61,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.80,08-19-2019,04:00:00,23.2,22.3,1010.28,0.20,26.91,000,0.0,95,958.47,5.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.10,08-19-2019,04:00:00,26.3,25.1,1008.00,0.00,31.96,000,0.0,93,1004.03,5.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,4.30,08-19-2019,04:00:00,21.0,20.7,1008.53,0.50,24.38,230,5.6,98,913.15,2.50
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,3.70,08-19-2019,04:00:00,26.2,25.5,1006.97,0.00,32.59,000,0.0,96,990.95,5.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,4.80,08-19-2019,04:00:00,25.6,24.7,1006.99,0.00,31.17,000,0.0,95,1002.93,8.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-19-2019,04:00:00,26.0,24.4,1008.61,0.00,30.57,000,0.0,91,997.89,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-19-2019,04:00:00,25.7,23.2,1007.99,0.00,28.42,000,0.0,86,1006.05,8.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-19-2019,04:00:00,27.1,22.8,1007.08,0.00,27.80,240,9.3,78,986.22,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-19-2019,04:00:00,26.8,23.4,1006.29,0.00,28.84,000,0.0,82,988.63,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,08-19-2019,04:00:00,27.2,24.0,1006.27,0.00,29.85,260,5.6,83,990.13,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-19-2019,04:00:00,27.7,24.2,1007.36,0.00,30.26,200,5.6,81,993.36,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-19-2019,04:00:00,27.0,25.4,1008.40,0.00,32.49,000,0.0,91,993.55,9.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1.50,08-19-2019,04:00:00,26.1,24.8,1008.81,0.00,31.30,000,0.0,93,994.07,6.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.01,08-19-2019,04:00:00,26.6,25.0,1007.55,0.00,31.71,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,91,1004.53,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.01,08-19-2019,04:00:00,25.8,24.1,1007.75,0.00,29.93,000,0.0,90,999.76,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-19-2019,04:00:00,27.5,24.8,1008.21,0.00,31.25,150,3.7,85,1007.10,6.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-19-2019,04:00:00,26.4,23.6,1007.22,0.00,29.17,000,0.0,85,992.50,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.20,08-19-2019,04:00:00,20.0,19.8,1009.29,0.00,23.13,180,9.3,99,874.21,.10
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,08-19-2019,04:00:00,26.5,25.4,1007.68,0.00,32.35,190,5.6,93,1001.79,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-19-2019,04:00:00,27.7,26.0,1008.36,0.00,33.62,240,3.7,91,1007.56,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-19-2019,04:00:00,28.5,24.9,1008.14,0.00,31.54,230,11.1,81,1007.70,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,3.10,08-19-2019,04:00:00,24.5,23.5,1009.59,0.00,28.89,000,0.0,94,998.16,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,08-19-2019,04:00:00,27.0,23.3,1008.04,0.00,28.67,190,3.7,80,1007.02,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,08-19-2019,04:00:00,26.5,24.3,1007.91,0.00,30.43,160,3.7,88,1006.08,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-19-2019,04:00:00,26.6,22.1,1008.04,0.00,26.65,000,0.0,77,1007.27,7.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,08-19-2019,04:00:00,27.4,23.9,1008.37,0.00,29.69,230,7.4,81,1007.67,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.90,08-19-2019,04:00:00,27.4,25.5,1008.21,0.00,32.73,000,0.0,90,1007.50,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-19-2019,04:00:00,26.7,23.5,1007.60,0.00,28.92,000,0.0,83,986.42,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,3.00,08-19-2019,04:00:00,26.2,24.8,1007.38,0.00,31.22,000,0.0,92,990.62,6.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,4.30,08-19-2019,04:00:00,25.5,24.3,1007.88,0.00,30.44,230,3.7,93,991.35,6.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.01,08-19-2019,04:00:00,26.7,23.8,1007.55,0.00,29.45,000,0.0,84,985.66,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.01,08-19-2019,04:00:00,25.1,22.7,1008.35,0.00,27.62,000,0.0,87,964.79,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.40,08-19-2019,04:00:00,26.0,23.8,1007.92,0.00,29.50,000,0.0,88,987.28,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-19-2019,04:00:00,26.0,25.3,1008.95,0.00,32.20,220,9.3,96,988.03,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,08-19-2019,04:00:00,27.5,23.1,1008.98,0.00,28.26,260,3.7,77,1008.55,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-19-2019,04:00:00,27.0,25.3,1008.81,0.00,32.21,000,0.0,90,1007.39,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-19-2019,04:00:00,25.5,24.8,1008.39,0.00,31.25,000,0.0,96,1003.43,7.00
