WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,Rainfall,AirTemperature,WindSpeed,DewPoint,MeanSeaLevelPressure,RelativeHumidity,WindDirection,VaporPressure,Rainfall24Hr
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.00,09-03-2019,13:00:00,10.00,0.00,31.2,11.1,25.4,1008.98,71,290,32.47,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.21,09-03-2019,13:00:00,10.00,0.00,29.3,14.8,26.1,1009.02,83,280,33.74,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.00,09-03-2019,13:00:00,10.00,0.00,32.0,7.4,24.0,1008.78,63,230,29.79,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1007.56,09-03-2019,13:00:00,10.00,0.00,32.8,7.4,23.9,1008.30,60,280,29.70,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1004.74,09-03-2019,13:00:00,10.00,0.00,31.4,11.1,24.3,1008.68,66,240,30.28,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.46,09-03-2019,13:00:00,10.00,0.00,32.0,9.3,25.7,1009.13,69,250,32.99,0.20
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1007.27,09-03-2019,13:00:00,10.00,0.00,31.9,5.6,24.5,1008.37,65,230,30.73,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1005.71,09-03-2019,13:00:00,11.00,0.00,32.2,7.4,25.6,1008.58,68,250,32.82,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1007.17,09-03-2019,13:00:00,8.00,0.00,32.8,7.4,25.8,1007.84,67,240,33.22,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1004.14,09-03-2019,13:00:00,6.00,0.00,33.2,7.4,23.7,1008.18,58,260,29.37,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1007.41,09-03-2019,13:00:00,10.00,0.00,32.7,13.0,25.1,1007.99,64,080,31.82,0.00
