WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,DewPoint,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,WindSpeed,LandVisibility,AirTemperature,WindDirection
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,2.00,07-25-2019,13:00:00,988.28,24.2,2.80,89,1007.83,30.22,3.7,8.00,26.1,190
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.40,07-25-2019,13:00:00,991.91,24.7,59.10,86,1008.65,31.14,1.9,8.00,27.3,240
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.40,07-25-2019,13:00:00,991.13,25.2,24.50,87,1008.52,32.00,0.0,12.00,27.6,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.50,07-25-2019,13:00:00,980.88,24.0,0.50,75,1006.47,29.82,9.3,12.00,28.9,230
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.01,07-25-2019,13:00:00,1002.64,25.8,2.50,78,1008.38,33.17,0.0,8.00,30.0,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-25-2019,13:00:00,1001.45,25.2,0.00,72,1007.57,32.01,7.4,10.00,30.7,130
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.90,07-25-2019,13:00:00,993.18,24.3,4.20,82,1009.61,30.45,0.0,8.00,27.8,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,6.40,07-25-2019,13:00:00,985.33,23.3,15.60,80,1007.66,28.67,7.4,10.00,27.0,240
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.80,07-25-2019,13:00:00,994.63,25.3,1.30,85,1009.00,32.23,3.7,8.00,28.0,190
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.50,07-25-2019,13:00:00,991.61,24.5,1.50,82,1007.97,30.72,3.7,7.00,27.8,130
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-25-2019,13:00:00,1003.32,23.6,0.01,63,1008.48,29.15,11.1,10.00,31.4,140
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.40,07-25-2019,13:00:00,994.40,25.6,1.20,78,1007.47,32.88,0.0,12.00,30.0,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-25-2019,13:00:00,998.84,22.6,0.10,57,1008.02,27.46,5.6,10.00,32.1,080
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-25-2019,13:00:00,986.10,22.8,1.80,66,1007.58,27.82,16.7,10.00,30.0,230
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.01,07-25-2019,13:00:00,990.86,24.9,1.30,66,1008.09,31.52,5.6,10.00,32.0,230
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-25-2019,13:00:00,992.07,23.1,2.90,70,1007.80,28.21,3.7,12.00,29.2,210
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.10,07-25-2019,13:00:00,988.38,24.9,5.40,75,1007.09,31.40,5.6,8.00,29.7,210
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1.70,07-25-2019,13:00:00,959.63,22.8,4.70,84,1011.04,27.82,0.0,8.00,25.8,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-25-2019,13:00:00,1004.16,23.7,0.00,64,1008.06,29.35,9.3,8.00,31.5,180
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,5.50,07-25-2019,13:00:00,914.07,20.9,9.30,94,1009.22,24.74,9.3,.60,22.0,240
