WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindDirection,StationPressure,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,RelativeHumidity,VaporPressure,DewPoint,Rainfall,MaximumTemperature,WindSpeed
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.00,10-04-2019,19:00:00,000,1006.83,1011.05,27.4,0.20,91,33.29,25.8,0.00,32.7,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,8.00,10-04-2019,19:00:00,000,1008.30,1009.92,25.5,14.40,93,30.17,24.2,11.60,33.2,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10.00,10-04-2019,19:00:00,170,1005.48,1008.95,28.0,0.10,85,31.95,25.1,0.00,34.6,7.4
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10.00,10-04-2019,19:00:00,000,1007.90,1009.25,28.5,0.00,80,30.98,24.6,0.00,34.0,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,6.00,10-04-2019,19:00:00,000,1008.51,1009.40,27.0,11.80,92,32.77,25.6,6.80,31.2,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,10-04-2019,19:00:00,000,1005.51,1009.06,28.1,0.00,79,30.20,24.2,0.00,32.4,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,10-04-2019,19:00:00,000,1008.52,1008.95,29.0,0.30,78,31.13,24.7,0.00,32.0,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,10-04-2019,19:00:00,000,1008.45,1009.44,29.0,1.00,73,29.19,23.6,0.00,31.5,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,10-04-2019,19:00:00,180,1008.47,1009.28,28.7,2.40,76,29.98,24.1,0.00,33.0,16.7
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,10-04-2019,19:00:00,000,1007.70,1009.52,26.5,2.00,83,28.82,23.4,0.01,33.6,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,10-04-2019,19:00:00,180,1008.83,1009.59,27.0,1.10,77,27.36,22.6,1.10,32.9,5.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,10-04-2019,19:00:00,000,1005.67,1009.70,25.6,0.60,90,29.56,23.8,0.20,33.9,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,10-04-2019,19:00:00,000,1009.69,1010.37,29.0,0.00,79,31.69,25.0,0.00,32.5,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,10-04-2019,19:00:00,000,1008.37,1009.49,25.6,6.80,97,31.71,25.0,1.20,34.0,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,10-04-2019,19:00:00,000,1006.64,1009.56,27.0,1.50,88,31.38,24.8,0.00,33.6,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,8.00,10-04-2019,19:00:00,000,1009.17,1009.87,25.3,1.40,88,28.23,23.1,0.00,34.4,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,6.00,10-04-2019,19:00:00,000,1005.79,1009.96,24.0,4.00,93,27.76,22.8,1.20,33.8,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,10-04-2019,19:00:00,240,1009.08,1009.67,27.0,0.00,79,28.14,23.0,0.00,32.0,5.6
