WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,RelativeHumidity,VaporPressure,WindSpeed,WindDirection,StationPressure,LandVisibility,Rainfall
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.6,09-13-2019,16:00:00,1004.01,35.0,1.00,52,29.05,9.3,250,971.49,12.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.9,09-13-2019,16:00:00,1004.99,32.7,1.80,64,31.53,3.7,300,986.90,15.00,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.9,09-13-2019,16:00:00,1004.90,32.4,0.00,65,31.48,7.4,100,982.57,10.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.4,09-13-2019,16:00:00,1004.52,30.2,0.00,67,28.75,0.0,000,975.09,12.00,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.2,09-13-2019,16:00:00,1004.67,32.7,3.80,65,32.12,0.0,000,969.99,8.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.6,09-13-2019,16:00:00,1004.01,29.0,4.30,87,34.87,0.0,000,974.65,17.00,4.30
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.4,09-13-2019,16:00:00,1005.99,30.2,10.00,80,34.47,18.5,150,998.77,2.00,10.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.4,09-13-2019,16:00:00,1003.90,34.0,12.80,65,34.36,13.0,090,984.53,18.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,25.4,09-13-2019,16:00:00,1004.30,31.0,3.60,72,32.34,0.0,000,976.13,15.00,3.60
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.5,09-13-2019,16:00:00,1004.17,33.7,3.40,59,30.70,3.7,310,984.50,15.00,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.9,09-13-2019,16:00:00,1004.59,32.0,0.00,66,31.52,3.7,100,983.28,15.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.0,09-13-2019,16:00:00,1004.46,32.2,0.00,62,29.91,3.7,080,985.36,15.00,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,23.6,09-13-2019,16:00:00,1004.70,33.5,0.01,56,29.13,1.9,060,988.35,12.00,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.9,09-13-2019,16:00:00,1004.87,33.8,24.10,60,31.50,0.0,000,987.89,12.00,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.2,09-13-2019,16:00:00,1003.06,33.0,0.60,60,30.11,0.0,000,977.90,12.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.3,09-13-2019,16:00:00,1004.41,36.0,0.00,58,34.26,3.7,270,998.81,10.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.5,09-13-2019,16:00:00,1004.72,34.3,0.00,60,32.59,0.0,000,998.69,12.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.8,09-13-2019,16:00:00,1005.78,31.0,0.00,66,29.48,0.0,000,989.58,12.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.2,09-13-2019,16:00:00,1005.34,30.0,0.20,67,28.37,7.4,240,983.28,10.00,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.8,09-13-2019,16:00:00,1005.91,32.0,0.00,59,27.82,18.5,260,991.78,10.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,25.3,09-13-2019,16:00:00,1005.36,33.0,0.50,64,32.16,0.0,000,989.33,12.00,0.50
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,23.7,09-13-2019,16:00:00,1005.06,34.0,0.00,55,29.29,7.4,320,999.96,10.00,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.5,09-13-2019,16:00:00,1003.72,31.7,0.00,70,32.64,0.0,000,990.77,12.00,0.00
