WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MinimumTemperature,AirTemperature,WindSpeed,VaporPressure,MeanSeaLevelPressure,Rainfall,StationPressure,DewPoint,RelativeHumidity,Rainfall24Hr,WindDirection
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,8.00,09-03-2019,07:00:00,23.6,24.0,0.0,29.82,1008.71,0.00,1007.91,24.0,100,0.00,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,09-03-2019,07:00:00,24.4,24.8,0.0,27.10,1007.97,0.00,1007.33,22.4,87,0.00,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,09-03-2019,07:00:00,24.9,25.4,0.0,31.33,1007.97,0.00,1007.57,24.8,97,0.00,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,6.00,09-03-2019,07:00:00,24.0,24.2,0.0,28.36,1010.02,0.00,1005.76,23.2,94,0.01,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,5.00,09-03-2019,07:00:00,23.0,24.0,0.0,28.53,1009.06,0.00,1007.43,23.3,96,8.20,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,7.00,09-03-2019,07:00:00,23.8,24.0,0.0,28.53,1009.00,0.00,1005.49,23.3,96,0.50,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,9.00,09-03-2019,07:00:00,25.0,25.0,0.0,30.58,1008.42,0.00,1007.05,24.4,97,0.00,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,09-03-2019,07:00:00,24.7,25.0,0.0,30.85,1008.59,0.00,1007.70,24.6,97,0.00,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,09-03-2019,07:00:00,24.0,24.3,0.0,29.31,1008.49,0.00,1004.90,23.7,97,0.00,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,09-03-2019,07:00:00,25.5,25.9,0.0,31.19,1008.82,0.00,1008.38,24.7,93,0.00,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,09-03-2019,07:00:00,22.5,25.1,0.0,31.04,1008.65,0.00,1007.65,24.7,97,0.00,000
