WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,WindSpeed,StationPressure,Rainfall,AirTemperature,LandVisibility,DewPoint,WindDirection,Rainfall24Hr,RelativeHumidity,VaporPressure
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-09-2019,10:00:00,1009.18,0.0,1005.18,0.00,30.4,12.00,25.2,000,0.00,74,31.97
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-09-2019,10:00:00,1009.94,0.0,999.34,0.00,30.0,9.00,24.3,000,0.00,71,30.31
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-09-2019,10:00:00,1009.59,3.7,1007.67,0.00,30.6,10.00,24.8,180,8.70,71,31.23
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-09-2019,10:00:00,1008.43,5.6,987.72,0.00,29.6,12.00,23.4,230,0.00,69,28.69
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-09-2019,10:00:00,1007.31,14.8,989.78,0.00,29.4,10.00,23.8,250,0.00,72,29.41
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-09-2019,10:00:00,1006.97,9.3,991.00,0.00,30.5,10.00,24.3,240,0.00,70,30.46
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-09-2019,10:00:00,1008.03,9.3,994.06,0.00,28.6,10.00,23.8,240,2.10,75,29.52
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-09-2019,10:00:00,1009.15,0.0,994.35,0.00,28.3,15.00,25.3,000,0.00,84,32.27
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-09-2019,10:00:00,1009.26,13.0,994.67,0.00,29.3,10.00,24.6,200,0.00,76,30.88
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-09-2019,10:00:00,1008.25,0.0,1005.27,0.00,30.5,10.00,25.1,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.60,73,31.88
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-09-2019,10:00:00,1008.75,9.3,1000.87,0.00,30.2,10.00,24.8,130,0.00,73,31.27
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-09-2019,10:00:00,1010.11,18.5,1009.02,0.00,30.9,8.00,23.9,230,0.00,66,29.56
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-09-2019,10:00:00,1005.48,0.0,990.96,0.00,30.0,9.00,25.8,000,0.00,78,33.17
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-09-2019,10:00:00,1010.02,9.3,875.56,0.20,21.7,8.00,20.1,280,40.80,91,23.58
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-09-2019,10:00:00,1009.24,3.7,1003.41,0.00,30.1,10.00,24.8,190,0.00,73,31.35
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-09-2019,10:00:00,1010.38,11.1,1009.58,0.00,31.5,9.00,23.6,240,0.00,63,29.07
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-09-2019,10:00:00,1010.34,9.3,1009.89,0.00,30.5,10.00,24.7,230,35.30,71,31.03
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-09-2019,10:00:00,1010.94,0.0,999.69,1.50,29.5,7.00,22.9,000,4.80,68,27.96
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-09-2019,10:00:00,1009.57,5.6,1008.57,0.00,32.4,12.00,24.4,210,0.00,63,30.61
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-09-2019,10:00:00,1009.52,11.1,1007.72,0.00,31.7,8.00,24.3,190,0.50,65,30.32
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-09-2019,10:00:00,1009.44,0.0,1008.69,0.00,31.7,9.00,22.7,000,0.00,59,27.52
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-09-2019,10:00:00,1010.16,13.0,1009.47,0.00,30.9,10.00,24.8,190,10.80,70,31.27
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-09-2019,10:00:00,1009.91,5.6,1009.21,0.00,30.6,7.00,25.5,310,1.50,74,32.67
