WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,DewPoint,StationPressure,RelativeHumidity,VaporPressure,WindSpeed,WindDirection,MeanSeaLevelPressure,AirTemperature,LandVisibility
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.01,08-29-2019,22:00:00,0.01,25.7,980.25,85,32.96,9.3,230,1000.17,28.5,10.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,6.40,08-29-2019,22:00:00,3.20,25.3,978.32,90,32.21,14.8,320,999.87,27.0,8.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10.90,08-29-2019,22:00:00,5.80,25.6,979.43,95,32.91,5.6,300,998.77,26.5,7.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,40.30,08-29-2019,22:00:00,6.60,25.4,981.29,93,32.35,3.7,320,997.90,26.5,7.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,39.50,08-29-2019,22:00:00,9.80,25.9,980.59,97,33.47,9.3,090,997.86,26.5,5.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-29-2019,22:00:00,0.00,26.6,974.79,92,34.81,0.0,000,1000.29,28.0,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-29-2019,22:00:00,0.00,26.7,997.13,84,34.97,0.0,000,1002.84,29.6,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-29-2019,22:00:00,0.00,27.0,996.96,86,35.65,0.0,000,1003.08,29.5,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-29-2019,22:00:00,0.00,25.3,987.54,87,32.28,0.0,000,1003.89,27.6,8.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,08-29-2019,22:00:00,0.00,23.3,982.34,91,28.56,7.4,270,1004.76,24.9,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-29-2019,22:00:00,0.00,22.4,990.47,68,27.03,14.8,260,1004.73,29.0,10.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-29-2019,22:00:00,0.00,23.4,987.44,74,28.78,0.0,000,1003.69,28.5,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-29-2019,22:00:00,0.00,25.7,998.27,88,33.08,0.0,000,1003.46,28.0,10.00
