WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,WindSpeed,LandVisibility,Rainfall,DewPoint,WindDirection,StationPressure,RelativeHumidity,VaporPressure,Rainfall24Hr
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.99,09-01-2019,13:00:00,29.8,18.5,10.00,0.00,23.6,260,1009.59,69,29.08,9.30
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1012.32,09-01-2019,13:00:00,26.7,5.6,5.00,0.20,23.0,230,1008.09,80,28.13,5.80
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.44,09-01-2019,13:00:00,29.0,0.0,8.00,4.80,23.2,000,1008.84,71,28.37,19.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1010.30,09-01-2019,13:00:00,27.0,0.0,7.00,2.60,24.4,000,1006.81,86,30.56,15.90
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.53,09-01-2019,13:00:00,27.0,27.8,10.00,0.00,22.3,280,1009.17,75,26.84,2.10
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.36,09-01-2019,13:00:00,29.0,0.0,10.00,7.50,24.7,000,1009.48,78,31.13,70.80
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1010.36,09-01-2019,13:00:00,27.7,5.6,10.00,0.60,23.3,260,1006.80,77,28.63,29.80
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.71,09-01-2019,13:00:00,27.8,0.0,10.00,1.00,24.2,000,1009.28,81,30.17,70.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.70,09-01-2019,13:00:00,28.7,5.6,8.00,4.40,23.3,290,1008.71,73,28.62,78.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.34,09-01-2019,13:00:00,27.7,11.1,10.00,1.40,24.8,300,1009.52,84,31.36,47.80
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1011.09,09-01-2019,13:00:00,26.2,5.6,10.00,3.00,23.7,320,1009.27,86,29.33,28.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1009.81,09-01-2019,13:00:00,31.1,16.7,11.00,0.00,22.5,250,1009.06,60,27.19,0.01
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.59,09-01-2019,13:00:00,26.3,14.8,10.00,0.20,23.7,240,1006.57,86,29.25,0.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1012.34,09-01-2019,13:00:00,25.0,0.0,6.00,32.50,24.3,000,1011.65,96,30.32,69.50
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.23,09-01-2019,13:00:00,29.2,9.3,10.00,0.00,23.4,240,1009.12,71,28.75,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1011.03,09-01-2019,13:00:00,26.8,13.0,10.00,0.30,25.4,300,1008.10,92,32.38,0.30
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.70,09-01-2019,13:00:00,32.7,9.3,8.00,0.00,24.8,310,1008.02,63,31.23,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1009.15,09-01-2019,13:00:00,32.2,18.5,8.00,0.00,21.9,230,1005.09,55,26.28,0.01
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1008.47,09-01-2019,13:00:00,32.0,0.0,10.00,0.00,24.9,000,1007.89,66,31.52,11.40
