WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,StationPressure,Rainfall,AirTemperature,VaporPressure,DewPoint,WindSpeed,WindDirection
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-07-2019,13:00:00,0.90,12.00,71,1005.76,988.63,0.00,31.2,32.18,25.3,9.3,270
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-07-2019,13:00:00,9.00,13.00,56,1004.36,979.17,0.00,33.0,28.40,23.2,7.4,270
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-07-2019,13:00:00,0.00,10.00,63,1006.47,1000.81,0.00,33.7,32.78,25.6,7.4,260
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-07-2019,13:00:00,0.00,12.00,59,1006.54,1000.48,0.00,33.5,30.28,24.2,0.0,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-07-2019,13:00:00,0.00,12.00,71,1009.96,993.64,0.00,30.0,30.31,24.3,9.3,180
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-07-2019,13:00:00,9.00,10.00,80,1007.03,984.77,1.10,27.8,29.90,24.0,13.0,240
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-07-2019,13:00:00,0.00,10.00,64,1007.68,993.49,0.00,31.3,29.24,23.7,13.0,270
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-07-2019,13:00:00,0.00,12.00,61,1006.66,990.55,0.00,32.1,29.14,23.6,11.1,270
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-07-2019,13:00:00,0.01,10.00,65,1007.16,1002.02,0.00,32.2,31.35,24.8,5.6,180
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-07-2019,13:00:00,0.00,12.00,64,1005.37,992.46,0.00,33.0,32.16,25.3,7.4,190
