WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,WindDirection,AirTemperature,VaporPressure,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,Rainfall,RelativeHumidity
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.8,10-13-2019,01:00:00,0.0,000,24.5,29.41,988.70,0.01,1010.81,10.00,0.00,96
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,20.7,10-13-2019,01:00:00,0.0,000,21.5,24.44,966.89,4.30,1011.09,9.00,0.00,95
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.2,10-13-2019,01:00:00,3.7,240,24.4,30.28,989.65,0.01,1010.46,7.00,0.00,99
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,23.1,10-13-2019,01:00:00,3.7,300,23.1,28.24,990.51,29.80,1011.70,7.00,0.00,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,26.0,10-13-2019,01:00:00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",29.9,33.54,1009.28,0.00,1009.71,10.00,0.00,80
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.8,10-13-2019,01:00:00,0.0,000,25.4,31.33,1008.59,0.60,1010.02,6.00,0.00,97
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.8,10-13-2019,01:00:00,0.0,000,25.2,31.22,1005.30,0.90,1010.28,7.00,0.00,97
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.4,10-13-2019,01:00:00,0.0,000,28.0,30.56,1006.37,0.00,1009.67,10.00,0.00,81
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.4,10-13-2019,01:00:00,0.0,000,27.8,34.40,1008.61,0.00,1009.71,10.00,0.00,92
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,25.6,10-13-2019,01:00:00,0.0,000,27.6,32.84,1009.78,0.01,1010.08,10.00,0.00,89
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.0,10-13-2019,01:00:00,0.0,000,27.6,29.79,1009.96,0.00,1010.45,10.00,0.00,81
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.5,10-13-2019,01:00:00,1.9,100,27.0,30.83,1008.66,0.01,1010.08,10.00,0.00,87
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,23.7,10-13-2019,01:00:00,0.0,000,24.0,29.30,1003.96,5.40,1012.08,10.00,0.00,98
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.9,10-13-2019,01:00:00,0.0,000,27.2,33.46,1009.37,4.50,1009.66,2.00,0.00,93
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,25.4,10-13-2019,01:00:00,0.0,000,27.5,32.36,1006.67,15.90,1009.81,10.00,0.00,88
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,25.1,10-13-2019,01:00:00,0.0,000,26.8,31.82,1003.14,24.70,1010.10,10.00,0.00,90
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.3,10-13-2019,01:00:00,0.0,000,26.0,32.20,1005.07,0.00,1010.71,10.00,0.00,96
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.0,10-13-2019,01:00:00,3.7,180,27.0,31.66,1009.14,0.00,1010.41,10.00,0.00,89
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,25.9,10-13-2019,01:00:00,0.0,000,29.7,33.41,1008.82,0.10,1009.25,11.00,0.00,80
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.3,10-13-2019,01:00:00,0.0,000,25.5,30.44,998.16,0.00,1010.52,8.00,0.00,93
