WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,WindSpeed,MinimumTemperature,Rainfall,LandVisibility,StationPressure,DewPoint,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,AirTemperature,VaporPressure
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-06-2019,07:00:00,0.0,23.9,0.00,10.00,978.09,24.1,1005.75,24.30,97,24.5,29.93
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,08-06-2019,07:00:00,0.0,23.9,0.00,10.00,971.40,23.6,1005.14,19.80,97,24.0,29.04
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,000,08-06-2019,07:00:00,0.0,24.7,0.20,10.00,987.08,24.7,1005.65,8.10,97,25.1,31.04
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,08-06-2019,07:00:00,0.0,24.3,1.90,10.00,982.83,24.3,1005.76,4.80,98,24.6,30.38
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,08-06-2019,07:00:00,0.0,24.0,1.40,6.00,976.05,23.3,1006.11,5.80,95,24.2,28.62
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-06-2019,07:00:00,0.0,23.5,0.00,4.00,970.52,23.6,1006.27,24.60,99,23.8,29.20
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,08-06-2019,07:00:00,0.0,24.0,0.90,2.00,975.58,24.0,1005.45,2.30,99,24.2,29.92
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,08-06-2019,07:00:00,0.0,24.5,3.70,5.00,998.11,23.8,1005.46,26.90,96,24.5,29.41
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,240,08-06-2019,07:00:00,3.7,25.0,0.00,10.00,985.46,24.5,1005.41,3.00,94,25.5,30.71
48353,LOEI,เลย,เลย,17.45000,101.73333,000,08-06-2019,07:00:00,0.0,24.8,0.00,5.00,976.66,23.9,1005.41,1.70,93,25.1,29.70
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,240,08-06-2019,07:00:00,5.6,25.5,0.00,15.00,985.21,24.8,1005.39,1.30,92,26.2,31.22
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,240,08-06-2019,07:00:00,5.6,24.5,0.00,12.00,983.81,23.5,1005.64,48.00,92,25.0,29.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,290,08-06-2019,07:00:00,3.7,24.7,0.00,12.00,985.73,24.2,1005.27,29.40,93,25.5,30.17
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,08-06-2019,07:00:00,0.0,24.1,0.00,10.00,989.28,23.7,1006.10,0.01,91,25.3,29.28
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,08-06-2019,07:00:00,0.0,23.7,0.00,10.00,988.94,24.8,1006.42,1.50,96,25.5,31.25
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,08-06-2019,07:00:00,0.0,25.0,0.00,12.00,978.43,24.2,1004.27,5.50,94,25.2,30.15
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,120,08-06-2019,07:00:00,5.6,22.9,0.50,6.00,999.73,25.4,1005.54,16.90,98,25.7,32.45
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,08-06-2019,07:00:00,0.0,24.5,0.20,8.00,999.26,25.2,1005.48,23.80,100,25.2,32.04
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,08-06-2019,07:00:00,0.0,23.7,1.70,10.00,990.04,23.7,1006.60,2.20,94,24.7,29.25
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,08-06-2019,07:00:00,0.0,22.7,0.20,10.00,981.82,22.1,1004.35,27.20,94,23.2,26.66
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,08-06-2019,07:00:00,0.0,23.6,0.80,6.00,991.69,23.2,1006.20,7.30,94,24.2,28.36
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,08-06-2019,07:00:00,0.0,23.0,1.50,6.00,989.00,22.8,1005.55,12.60,96,23.5,27.66
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,170,08-06-2019,07:00:00,3.7,25.0,0.40,10.00,1003.49,24.6,1008.76,2.60,96,25.3,30.87
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,08-06-2019,07:00:00,0.0,24.0,0.40,10.00,991.58,23.8,1004.85,6.50,94,24.8,29.42
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,110,08-06-2019,07:00:00,3.7,25.3,0.20,10.00,996.30,25.0,1005.66,4.30,97,25.6,31.71
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,000,08-06-2019,07:00:00,0.0,25.5,0.00,8.00,983.76,23.1,1005.48,0.01,84,26.0,28.18
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,220,08-06-2019,07:00:00,14.8,25.0,0.00,10.00,988.35,23.3,1005.91,0.00,88,25.5,28.59
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,000,08-06-2019,07:00:00,0.0,23.5,4.10,10.00,989.06,23.8,1004.99,49.50,96,24.5,29.41
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,210,08-06-2019,07:00:00,3.7,25.5,0.00,10.00,985.70,23.4,1004.56,0.40,83,26.6,28.74
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,08-06-2019,07:00:00,0.0,21.5,5.50,6.00,956.14,21.2,1008.04,22.70,95,22.0,25.21
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,080,08-06-2019,07:00:00,7.4,25.0,0.10,6.00,1001.78,24.7,1005.75,0.20,95,25.6,31.17
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,000,08-06-2019,07:00:00,0.0,19.0,1.60,6.00,910.66,19.1,1006.16,24.30,95,19.9,22.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,08-06-2019,07:00:00,0.0,24.8,0.10,8.00,989.54,25.8,1005.54,2.50,98,26.2,33.15
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,230,08-06-2019,07:00:00,5.6,25.2,0.01,8.00,1001.94,25.4,1005.98,2.90,99,25.6,32.53
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,08-06-2019,07:00:00,0.0,25.1,0.00,9.00,996.74,24.0,1007.47,0.20,92,25.5,29.91
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,190,08-06-2019,07:00:00,3.7,25.3,0.00,9.00,1004.75,24.0,1006.69,1.10,92,25.5,29.91
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,230,08-06-2019,07:00:00,5.6,25.0,0.00,10.00,984.82,23.3,1005.70,0.00,84,26.2,28.54
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,000,08-06-2019,07:00:00,0.0,25.0,0.00,10.00,988.00,25.1,1005.70,0.00,95,26.0,31.93
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,000,08-06-2019,07:00:00,0.0,26.0,0.00,10.00,989.01,24.9,1005.17,0.00,91,26.5,31.52
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,230,08-06-2019,07:00:00,3.7,25.4,0.00,10.00,991.62,23.8,1005.65,0.00,84,26.7,29.45
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,08-06-2019,07:00:00,0.0,25.1,0.00,9.00,991.87,24.6,1006.74,0.00,92,26.0,30.84
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,240,08-06-2019,07:00:00,3.7,26.2,0.00,8.00,991.40,24.5,1006.06,0.00,87,26.8,30.72
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",08-06-2019,07:00:00,0.0,24.1,0.00,10.00,1002.74,24.7,1005.76,0.80,93,25.9,31.19
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,08-06-2019,07:00:00,0.0,25.7,0.00,10.00,997.89,24.3,1005.85,0.00,89,26.3,30.32
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,180,08-06-2019,07:00:00,7.4,25.0,0.40,6.00,1005.41,24.7,1006.53,6.60,93,25.9,31.19
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,08-06-2019,07:00:00,0.0,25.5,0.00,8.00,991.34,24.3,1006.04,0.00,88,26.5,30.43
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,290,08-06-2019,07:00:00,9.3,17.7,12.80,.05,872.92,18.4,1008.48,30.80,99,18.6,21.19
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,210,08-06-2019,07:00:00,7.4,25.0,0.00,7.00,1000.64,25.1,1006.54,0.90,95,26.0,31.93
