WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,WindDirection,DewPoint,MeanSeaLevelPressure,VaporPressure,Rainfall,Rainfall24Hr,AirTemperature,WindSpeed,RelativeHumidity
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,985.56,09-09-2019,22:00:00,10.00,000,22.8,1008.04,27.70,0.00,19.80,25.0,0.0,88
48376,TAK,ตาก,ตาก,16.87833,99.14333,994.10,09-09-2019,22:00:00,7.00,280,21.5,1008.47,25.66,0.00,0.00,27.8,7.4,69
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,991.57,09-09-2019,22:00:00,8.00,260,22.1,1007.91,26.54,0.00,0.00,28.0,7.4,70
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1002.62,09-09-2019,22:00:00,10.00,240,25.1,1007.83,31.87,0.00,0.00,28.1,5.6,84
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,993.03,09-09-2019,22:00:00,10.00,000,25.1,1006.16,31.79,0.00,0.00,28.2,0.0,83
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,997.99,09-09-2019,22:00:00,10.00,310,23.6,1007.31,29.04,0.00,0.00,27.2,3.7,81
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,985.21,09-09-2019,22:00:00,8.00,240,24.3,1006.82,30.28,0.00,0.90,28.0,5.6,80
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,990.63,09-09-2019,22:00:00,7.00,240,23.2,1008.13,28.43,0.00,23.40,27.3,5.6,78
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,990.40,09-09-2019,22:00:00,10.00,000,24.9,1006.21,31.49,0.00,0.00,27.2,0.0,87
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,987.13,09-09-2019,22:00:00,8.00,000,24.8,1005.90,31.34,0.00,0.00,28.4,0.0,81
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,958.68,09-09-2019,22:00:00,8.00,000,21.5,1010.53,25.60,0.00,17.70,23.0,0.0,91
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.11,09-09-2019,22:00:00,7.00,160,27.2,1007.04,36.08,0.00,0.00,29.7,11.1,87
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,914.04,09-09-2019,22:00:00,6.00,200,19.6,1009.62,22.79,0.00,5.40,20.7,18.5,93
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,990.83,09-09-2019,22:00:00,7.00,000,26.4,1006.77,34.48,0.00,0.00,27.7,0.0,93
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1003.84,09-09-2019,22:00:00,10.00,220,22.0,1007.86,26.37,0.00,0.00,28.2,5.6,69
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,998.59,09-09-2019,22:00:00,7.00,000,25.3,1009.29,32.21,0.00,0.00,27.0,0.0,90
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1006.73,09-09-2019,22:00:00,8.00,000,25.9,1008.65,33.37,0.00,0.00,28.0,0.0,88
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,986.98,09-09-2019,22:00:00,10.00,000,24.4,1007.76,30.51,0.00,0.00,28.4,0.0,79
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,989.26,09-09-2019,22:00:00,10.00,000,25.4,1006.89,32.36,0.00,0.01,27.5,0.0,88
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,990.63,09-09-2019,22:00:00,10.00,000,25.9,1006.75,33.33,0.00,3.10,27.7,0.0,90
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,993.83,09-09-2019,22:00:00,10.00,180,24.3,1007.83,30.28,0.00,2.10,28.0,9.3,80
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,993.68,09-09-2019,22:00:00,9.00,000,24.4,1008.55,30.53,0.00,0.00,26.7,0.0,87
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,994.39,09-09-2019,22:00:00,7.00,000,24.2,1009.09,30.20,0.00,0.00,27.1,0.0,84
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1005.13,09-09-2019,22:00:00,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",22.0,1008.14,26.47,0.00,0.10,28.4,0.0,68
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1000.15,09-09-2019,22:00:00,8.00,000,25.2,1008.08,31.99,0.00,0.00,28.3,0.0,83
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1007.72,09-09-2019,22:00:00,7.00,200,24.5,1008.84,30.83,0.00,9.70,27.0,14.8,87
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,991.01,09-09-2019,22:00:00,8.00,100,25.4,1005.62,32.43,0.00,0.00,28.1,3.7,85
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,875.10,09-09-2019,22:00:00,.10,290,20.0,1010.32,23.36,12.20,35.20,20.0,5.6,100
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1002.63,09-09-2019,22:00:00,10.00,000,24.8,1008.51,31.22,0.00,0.00,27.2,0.0,87
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1008.55,09-09-2019,22:00:00,8.00,240,26.0,1009.34,33.58,0.00,0.00,29.5,3.7,81
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1007.69,09-09-2019,22:00:00,10.00,000,24.1,1008.14,30.10,0.00,0.50,26.9,0.0,85
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,999.28,09-09-2019,22:00:00,5.00,000,23.7,1010.69,29.28,0.00,2.30,25.3,0.0,91
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1007.86,09-09-2019,22:00:00,10.00,280,23.4,1008.87,28.78,0.00,2.10,28.5,3.7,74
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1006.95,09-09-2019,22:00:00,7.00,000,24.8,1008.77,31.25,0.00,0.01,27.5,0.0,85
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.05,09-09-2019,22:00:00,8.00,000,22.6,1008.81,27.42,0.00,0.00,28.2,0.0,72
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1008.45,09-09-2019,22:00:00,10.00,210,25.3,1009.15,32.15,0.00,0.20,28.1,5.6,85
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1008.24,09-09-2019,22:00:00,7.00,000,25.5,1008.94,32.66,3.00,5.60,26.8,0.0,93
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,986.96,09-09-2019,22:00:00,10.00,000,23.6,1008.01,29.08,0.00,0.00,28.8,0.0,73
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,991.76,09-09-2019,22:00:00,8.00,220,24.1,1008.50,30.02,0.00,0.00,27.0,9.3,84
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,992.20,09-09-2019,22:00:00,8.00,180,23.8,1008.65,29.48,0.00,0.00,27.0,3.7,83
