WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,RelativeHumidity,StationPressure,LandVisibility,WindDirection,Rainfall24Hr,Rainfall,VaporPressure,MeanSeaLevelPressure,AirTemperature
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,10-17-2019,22:00:00,25.1,93,1005.20,10.00,000,0.00,0.00,31.88,1013.27,26.4
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,10-17-2019,22:00:00,25.7,85,1011.33,6.00,000,4.00,0.00,32.96,1011.62,28.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,10-17-2019,22:00:00,24.9,77,1008.90,10.00,000,0.00,0.00,31.56,1012.02,29.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,5.6,10-17-2019,22:00:00,24.1,84,1004.77,10.00,060,2.60,0.00,30.02,1011.74,27.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,10-17-2019,22:00:00,25.4,83,1006.86,8.00,000,0.00,0.00,32.39,1012.46,28.5
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,7.4,10-17-2019,22:00:00,24.9,97,1011.41,6.00,230,37.90,10.90,31.52,1012.69,25.5
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,7.4,10-17-2019,22:00:00,24.8,83,1011.71,11.00,330,0.00,0.00,31.39,1012.14,28.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,10-17-2019,22:00:00,24.6,92,1000.24,6.00,000,0.00,0.00,30.84,1012.61,26.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,10-17-2019,22:00:00,26.0,88,1011.36,8.00,000,10.40,0.00,33.57,1012.08,28.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,3.7,10-17-2019,22:00:00,24.2,93,1009.30,9.00,360,4.10,0.00,30.17,1011.75,25.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.0,10-17-2019,22:00:00,24.8,88,1010.92,10.00,000,0.00,0.00,31.38,1011.44,27.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,3.7,10-17-2019,22:00:00,24.5,90,1006.26,9.00,050,12.10,0.00,30.67,1011.45,26.2
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,9.3,10-17-2019,22:00:00,23.9,76,1011.14,7.00,040,0.00,0.00,29.60,1011.55,28.5
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,10-17-2019,22:00:00,23.6,84,1009.06,10.00,000,0.00,0.00,29.08,1011.85,26.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,10-17-2019,22:00:00,24.7,95,1011.32,10.00,000,23.80,0.00,31.17,1012.12,25.6
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.0,10-17-2019,22:00:00,24.7,91,1010.64,7.00,000,8.20,0.00,31.13,1011.10,26.3
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,3.7,10-17-2019,22:00:00,24.3,94,1010.78,9.00,280,36.40,0.00,30.34,1011.47,25.3
