WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,RelativeHumidity,WindDirection,StationPressure,LandVisibility,AirTemperature,WindSpeed,VaporPressure,DewPoint,MeanSeaLevelPressure
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,08-05-2019,01:00:00,2.40,92,120,983.13,10.00,25.4,5.6,29.99,24.1,1002.63
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,08-05-2019,01:00:00,13.30,93,120,987.14,10.00,25.0,1.9,29.52,23.8,1003.94
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,08-05-2019,01:00:00,13.40,95,000,986.56,10.00,24.6,0.0,29.33,23.7,1004.04
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-05-2019,01:00:00,0.70,87,130,975.73,10.00,26.0,5.6,29.23,23.7,1001.43
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,4.70,08-05-2019,01:00:00,4.90,98,120,996.34,8.00,25.6,9.3,32.26,25.3,1002.13
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,5.00,08-05-2019,01:00:00,5.70,92,000,995.13,7.00,25.5,0.0,29.91,24.0,1001.31
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-05-2019,01:00:00,1.00,95,000,986.86,8.00,24.8,0.0,29.69,23.9,1003.35
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,12.70,08-05-2019,01:00:00,44.80,97,170,978.47,7.00,23.2,3.7,27.66,22.7,1000.93
48376,TAK,ตาก,ตาก,16.87833,99.14333,4.60,08-05-2019,01:00:00,8.60,94,000,987.98,5.00,24.6,0.0,29.07,23.6,1002.42
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,3.10,08-05-2019,01:00:00,3.90,95,000,985.12,6.00,24.0,0.0,28.27,23.1,1001.57
