WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,Rainfall24Hr,WindSpeed,WindDirection,Rainfall,RelativeHumidity,DewPoint,StationPressure,AirTemperature,VaporPressure
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.28,08-11-2019,22:00:00,7.00,29.80,18.5,220,4.00,87,23.0,1008.28,25.4,28.15
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.83,08-11-2019,22:00:00,10.00,0.00,0.0,000,0.00,84,24.1,1008.01,27.1,29.93
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.94,08-11-2019,22:00:00,10.00,16.90,0.0,000,0.00,91,24.4,1007.12,26.0,30.57
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.44,08-11-2019,22:00:00,10.00,10.80,1.9,230,0.00,73,23.6,1007.69,29.0,29.19
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.77,08-11-2019,22:00:00,10.00,4.40,3.7,990,0.00,86,23.8,1004.77,26.4,29.43
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.57,08-11-2019,22:00:00,10.00,36.80,0.0,000,0.00,87,24.3,1007.89,26.6,30.34
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.17,08-11-2019,22:00:00,10.00,9.40,0.0,000,0.00,76,24.0,1007.06,28.6,29.79
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.61,08-11-2019,22:00:00,10.00,28.30,0.0,000,0.00,83,24.3,1005.70,27.5,30.42
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.94,08-11-2019,22:00:00,10.00,4.60,0.0,000,0.00,94,26.3,1008.25,27.4,34.15
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1009.14,08-11-2019,22:00:00,8.00,2.00,0.0,000,0.00,90,25.1,1005.01,27.0,31.94
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.82,08-11-2019,22:00:00,7.00,7.60,5.6,180,7.60,81,24.1,1009.23,27.7,29.98
