WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,DewPoint,MeanSeaLevelPressure,WindSpeed,VaporPressure,Rainfall,WindDirection,Rainfall24Hr,LandVisibility,AirTemperature
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,984.36,08-01-2019,10:00:00,80,25.6,1004.03,9.3,32.79,0.00,240,11.00,14.00,29.4
48353,LOEI,เลย,เลย,17.45000,101.73333,976.20,08-01-2019,10:00:00,88,23.8,1004.84,0.0,29.50,0.30,000,0.30,12.00,26.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,984.57,08-01-2019,10:00:00,82,24.7,1004.61,3.7,31.11,0.00,260,41.30,12.00,28.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,984.49,08-01-2019,10:00:00,86,24.2,1006.20,3.7,30.18,0.60,160,17.90,12.00,26.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,984.84,08-01-2019,10:00:00,88,24.5,1004.28,0.0,30.81,2.70,000,10.90,15.00,26.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,988.03,08-01-2019,10:00:00,94,24.7,1004.81,3.7,31.08,15.30,260,19.30,9.00,25.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,987.20,08-01-2019,10:00:00,84,24.7,1004.52,7.4,31.08,1.30,280,31.50,12.00,27.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,978.47,08-01-2019,10:00:00,83,24.5,1004.09,3.7,30.81,0.00,270,8.50,10.00,27.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,999.78,08-01-2019,10:00:00,76,25.6,1005.49,0.0,32.92,0.00,000,0.00,10.00,30.3
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,999.35,08-01-2019,10:00:00,78,24.7,1005.48,7.4,31.13,0.00,130,0.00,10.00,29.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,989.81,08-01-2019,10:00:00,83,23.2,1006.27,9.3,28.46,0.01,180,16.40,10.00,26.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,982.99,08-01-2019,10:00:00,85,23.4,1005.35,9.3,28.70,0.00,150,21.00,10.00,26.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,991.90,08-01-2019,10:00:00,68,22.5,1006.18,13.0,27.30,0.00,270,5.00,8.00,29.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,989.00,08-01-2019,10:00:00,60,23.3,1005.08,0.0,28.58,0.00,000,0.00,12.00,32.1
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1000.58,08-01-2019,10:00:00,69,23.0,1005.76,7.4,28.12,0.00,210,0.01,10.00,29.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,991.83,08-01-2019,10:00:00,88,23.7,1005.05,0.0,29.31,0.40,000,11.90,10.00,25.9
