WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,RelativeHumidity,StationPressure,MaximumTemperature,AirTemperature,VaporPressure,Rainfall,MeanSeaLevelPressure,WindSpeed,WindDirection,DewPoint,Rainfall24Hr
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,8.00,10-05-2019,19:00:00,93,1008.30,33.4,23.8,27.42,8.40,1009.93,0.0,000,22.6,33.80
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,8.00,10-05-2019,19:00:00,92,1006.78,33.0,25.0,29.00,0.90,1010.29,0.0,000,23.5,1.80
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,8.00,10-05-2019,19:00:00,93,1007.90,31.7,25.8,31.00,0.00,1009.26,0.0,000,24.6,0.90
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,8.00,10-05-2019,19:00:00,93,1007.61,31.2,26.3,31.96,0.10,1008.49,5.6,120,25.1,4.10
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,8.00,10-05-2019,19:00:00,84,1006.07,31.5,27.3,30.31,0.20,1009.63,0.0,000,24.3,0.40
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,10-05-2019,19:00:00,76,1008.88,32.9,27.9,28.74,0.00,1009.31,5.6,230,23.4,3.50
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,10-05-2019,19:00:00,81,1007.69,31.4,28.0,30.56,0.00,1008.68,7.4,170,24.4,4.50
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,10-05-2019,19:00:00,78,1008.57,31.3,27.8,29.09,0.00,1009.38,5.6,170,23.6,59.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,10-05-2019,19:00:00,92,1007.75,32.7,26.2,31.22,0.00,1009.57,0.0,000,24.8,8.70
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,10-05-2019,19:00:00,71,1008.60,30.9,28.5,27.71,0.00,1009.35,3.7,250,22.8,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,10-05-2019,19:00:00,88,1005.61,32.2,25.6,29.03,0.00,1009.63,7.4,230,23.5,1.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,10-05-2019,19:00:00,91,1008.65,30.8,25.5,29.64,0.00,1009.34,0.0,000,23.9,27.80
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,10-05-2019,19:00:00,97,1008.24,31.7,25.2,30.96,0.00,1009.37,0.0,000,24.6,16.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,10-05-2019,19:00:00,89,1006.80,32.5,26.4,30.51,0.00,1009.73,3.7,260,24.4,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,8.00,10-05-2019,19:00:00,92,1008.77,33.0,26.0,30.84,0.00,1009.47,0.0,000,24.6,3.60
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,8.00,10-05-2019,19:00:00,88,1006.05,32.8,25.6,29.03,0.00,1010.21,5.6,270,23.5,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,10-05-2019,19:00:00,77,1007.41,33.0,27.8,28.82,0.00,1008.00,0.0,000,23.4,0.00
