WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,AirTemperature,Rainfall,WindDirection,LandVisibility,RelativeHumidity,WindSpeed,Rainfall24Hr,StationPressure,DewPoint
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1007.03,08-17-2019,16:00:00,32.10,28.5,11.10,000,7.00,83,0.0,11.20,1001.46,25.2
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1006.19,08-17-2019,16:00:00,31.72,30.0,0.00,230,12.00,75,14.8,0.00,996.98,25.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.61,08-17-2019,16:00:00,30.90,31.7,0.00,140,10.00,66,3.7,1.70,1006.36,24.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.22,08-17-2019,16:00:00,34.30,31.5,0.00,000,11.00,74,0.0,0.60,1005.79,26.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1006.96,08-17-2019,16:00:00,30.06,30.3,0.00,210,10.00,70,7.4,0.01,994.83,24.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.09,08-17-2019,16:00:00,29.24,31.3,0.00,220,10.00,64,11.1,0.00,1006.39,23.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.91,08-17-2019,16:00:00,31.27,30.2,0.00,200,10.00,73,7.4,0.01,1005.50,24.8
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.07,08-17-2019,16:00:00,33.17,30.0,0.00,230,10.00,78,24.1,0.00,1007.56,25.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1007.56,08-17-2019,16:00:00,29.96,29.4,0.00,230,11.00,73,9.3,0.00,1002.45,24.1
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.84,08-17-2019,16:00:00,33.91,29.1,0.30,180,8.00,84,9.3,4.80,1007.43,26.1
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1008.38,08-17-2019,16:00:00,32.80,28.0,0.00,000,8.00,87,0.0,14.20,1005.62,25.6
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.31,08-17-2019,16:00:00,27.98,29.8,0.00,000,10.00,67,0.0,0.00,1006.53,22.9
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.53,08-17-2019,16:00:00,33.02,26.7,2.80,060,7.00,94,3.7,91.20,1008.07,25.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.85,08-17-2019,16:00:00,30.53,26.7,0.20,000,10.00,87,0.0,25.90,1008.16,24.4
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.01,08-17-2019,16:00:00,29.85,27.2,0.00,000,8.00,83,0.0,16.40,1007.48,24.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.24,08-17-2019,16:00:00,30.12,27.2,0.20,210,10.00,84,3.7,170.80,1008.32,24.2
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.70,08-17-2019,16:00:00,28.48,31.2,0.00,260,12.00,63,14.8,0.00,1008.02,23.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.70,08-17-2019,16:00:00,31.11,32.5,0.00,260,10.00,64,7.4,0.30,1007.91,24.7
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.60,08-17-2019,16:00:00,30.20,32.2,0.00,070,10.00,63,13.0,0.01,1006.98,24.2
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.19,08-17-2019,16:00:00,32.88,30.0,0.00,210,10.00,78,7.4,0.00,1007.79,25.6
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1010.44,08-17-2019,16:00:00,28.65,31.0,0.00,210,6.00,64,7.4,0.00,1006.27,23.3
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1006.25,08-17-2019,16:00:00,29.24,31.3,0.00,000,10.00,64,0.0,11.90,1004.66,23.7
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1009.09,08-17-2019,16:00:00,33.63,30.5,0.00,000,10.00,77,0.0,11.50,1005.65,26.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.16,08-17-2019,16:00:00,30.12,33.7,0.00,240,10.00,58,11.1,0.00,1006.83,24.2
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.76,08-17-2019,16:00:00,31.97,29.7,0.00,000,10.00,77,0.0,45.50,1007.88,25.2
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.77,08-17-2019,16:00:00,29.33,30.5,0.00,250,10.00,67,7.4,60.60,1005.25,23.7
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1006.92,08-17-2019,16:00:00,30.49,31.5,0.00,000,10.00,66,0.0,4.80,1006.50,24.4
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.03,08-17-2019,16:00:00,29.41,29.4,0.00,270,10.00,72,5.6,45.60,1008.05,23.8
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.55,08-17-2019,16:00:00,33.46,30.0,0.00,240,10.00,79,9.3,24.40,1007.75,25.9
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.45,08-17-2019,16:00:00,30.90,31.0,0.00,230,10.00,69,7.4,2.60,1006.65,24.6
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.35,08-17-2019,16:00:00,30.98,30.9,0.30,050,11.00,69,3.7,0.30,1007.60,24.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1007.93,08-17-2019,16:00:00,27.99,33.5,0.00,240,10.00,54,11.1,0.01,1004.02,22.9
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.24,08-17-2019,16:00:00,29.66,32.5,0.00,000,10.00,61,0.0,0.00,1008.56,23.9
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1007.65,08-17-2019,16:00:00,30.12,33.7,0.00,000,10.00,58,0.0,0.00,1006.55,24.2
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1007.92,08-17-2019,16:00:00,30.29,34.2,0.00,280,12.00,56,9.3,0.00,1005.07,24.3
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1007.91,08-17-2019,16:00:00,30.20,24.5,18.20,020,4.00,98,9.3,18.20,1007.22,24.2
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1008.57,08-17-2019,16:00:00,30.02,27.0,9.60,000,10.00,84,0.0,9.60,1004.44,24.1
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1007.93,08-17-2019,16:00:00,31.35,31.5,0.00,040,10.00,68,14.8,5.70,1007.35,24.8
