WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,DewPoint,StationPressure,LandVisibility,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,WindDirection,WindSpeed,Rainfall
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,32.7,10-08-2019,13:00:00,56,22.8,994.79,10.00,1.10,27.80,1010.53,340,5.6,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,33.0,10-08-2019,13:00:00,62,24.8,1007.30,10.00,6.60,31.28,1011.27,000,0.0,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,32.0,10-08-2019,13:00:00,63,24.0,1000.66,9.00,0.00,29.79,1011.20,020,5.6,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,32.0,10-08-2019,13:00:00,63,24.1,1009.13,12.00,0.00,30.08,1011.03,000,0.0,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,32.9,10-08-2019,13:00:00,50,21.2,989.98,10.00,0.00,25.17,1010.51,050,7.4,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,32.5,10-08-2019,13:00:00,53,21.8,992.96,10.00,0.00,26.04,1010.36,050,11.1,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,32.8,10-08-2019,13:00:00,52,21.6,994.04,10.00,0.00,25.79,1009.94,010,5.6,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,32.6,10-08-2019,13:00:00,54,22.0,996.32,10.00,0.00,26.50,1010.14,080,5.6,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,32.7,10-08-2019,13:00:00,63,24.6,996.22,10.00,0.00,30.94,1010.83,000,0.0,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,31.0,10-08-2019,13:00:00,69,24.7,996.35,10.00,5.40,31.19,1010.88,060,11.1,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,32.8,10-08-2019,13:00:00,59,23.8,1008.02,10.00,2.50,29.42,1010.99,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,33.1,10-08-2019,13:00:00,59,24.1,1002.51,10.00,5.50,30.03,1010.33,320,9.3,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,33.5,10-08-2019,13:00:00,62,25.2,1009.30,8.00,10.70,32.05,1010.39,360,3.7,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,31.2,10-08-2019,13:00:00,61,22.7,996.27,8.00,0.00,27.65,1010.81,000,0.0,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,22.0,10-08-2019,13:00:00,93,20.8,876.11,.10,41.40,24.50,1010.52,000,0.0,1.60
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,33.5,10-08-2019,13:00:00,60,24.6,1004.40,10.00,0.00,30.87,1010.17,000,0.0,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,33.0,10-08-2019,13:00:00,59,24.0,1009.59,12.00,1.00,29.83,1010.38,330,5.6,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,32.5,10-08-2019,13:00:00,58,23.3,1009.35,10.00,0.00,28.53,1009.79,210,1.9,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,33.0,10-08-2019,13:00:00,58,23.7,999.56,10.00,9.40,29.25,1010.68,000,0.0,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,33.0,10-08-2019,13:00:00,58,23.7,1009.78,10.00,0.00,29.25,1010.78,000,0.0,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,33.0,10-08-2019,13:00:00,61,24.5,1008.91,7.00,23.70,30.69,1010.71,020,5.6,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,32.9,10-08-2019,13:00:00,58,23.6,1010.54,12.00,0.00,29.05,1011.29,000,0.0,0.00
