WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,WindSpeed,Rainfall24Hr,AirTemperature,WindDirection,StationPressure,MeanSeaLevelPressure,LandVisibility,Rainfall,RelativeHumidity
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,28.76,07-28-2019,01:00:00,23.4,3.7,0.00,26.9,240,984.57,1006.27,12.00,0.00,81
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.02,07-28-2019,01:00:00,24.1,0.0,0.00,27.0,000,986.26,1005.71,10.00,0.00,84
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,31.94,07-28-2019,01:00:00,25.1,0.0,11.30,27.0,000,989.78,1006.51,10.00,0.00,90
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,32.20,07-28-2019,01:00:00,25.3,0.0,2.20,26.0,000,989.27,1006.72,10.00,0.00,96
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.86,07-28-2019,01:00:00,21.0,0.0,0.00,24.5,000,979.14,1005.06,11.00,0.00,81
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,29.74,07-28-2019,01:00:00,23.9,3.7,0.30,24.1,350,1001.61,1007.46,10.00,0.00,99
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,30.44,07-28-2019,01:00:00,24.3,0.0,0.70,25.5,000,1000.25,1006.47,10.00,0.00,93
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.84,07-28-2019,01:00:00,22.3,0.0,0.00,24.5,000,991.43,1008.02,8.00,0.00,87
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.45,07-28-2019,01:00:00,22.6,3.7,1.60,25.0,220,984.34,1006.80,10.00,0.00,87
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.36,07-28-2019,01:00:00,22.6,0.0,0.00,27.0,000,994.14,1008.54,10.00,0.00,77
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.08,07-28-2019,01:00:00,22.4,0.0,0.00,26.7,000,991.25,1007.65,8.00,0.00,77
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,29.66,07-28-2019,01:00:00,23.9,3.7,0.01,25.8,350,1003.67,1008.93,10.00,0.00,89
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,29.00,07-28-2019,01:00:00,23.5,0.0,0.30,25.0,000,992.86,1006.13,10.00,0.00,92
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,30.01,07-28-2019,01:00:00,24.1,0.0,0.90,25.7,000,998.47,1007.84,11.00,0.00,91
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,28.14,07-28-2019,01:00:00,23.0,9.3,1.50,27.0,280,985.06,1006.73,10.00,0.00,79
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.77,07-28-2019,01:00:00,22.8,0.0,0.00,26.5,000,987.59,1005.08,12.00,0.00,80
