WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,WindDirection,AirTemperature,StationPressure,Rainfall24Hr,WindSpeed,Rainfall,LandVisibility,DewPoint,VaporPressure
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1009.05,07-25-2019,10:00:00,68,170,30.1,1005.12,0.00,11.1,0.00,8.00,23.6,29.11
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1009.66,07-25-2019,10:00:00,89,190,23.0,914.77,3.90,5.6,0.10,2.50,21.2,25.11
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1010.11,07-25-2019,10:00:00,94,000,26.4,994.04,7.00,0.0,1.10,6.00,25.4,32.43
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1009.50,07-25-2019,10:00:00,74,230,30.1,1005.50,0.01,7.4,0.00,12.00,25.0,31.64
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1010.67,07-25-2019,10:00:00,63,190,29.5,1000.05,1.20,3.7,0.00,9.00,21.6,25.83
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1010.34,07-25-2019,10:00:00,68,200,28.9,1008.42,3.60,5.6,0.00,10.00,22.4,27.11
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1009.58,07-25-2019,10:00:00,63,210,30.2,988.89,0.80,9.3,0.00,10.00,22.3,26.85
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1010.29,07-25-2019,10:00:00,90,210,26.5,992.54,15.70,11.1,5.70,10.00,24.8,31.24
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1010.04,07-25-2019,10:00:00,92,180,26.5,993.80,15.90,9.3,3.30,8.00,25.1,31.79
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1010.76,07-25-2019,10:00:00,74,210,28.6,996.75,48.30,9.3,0.00,10.00,23.5,28.97
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1011.15,07-25-2019,10:00:00,81,000,27.5,996.28,25.20,0.0,0.00,8.00,23.9,29.60
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1010.54,07-25-2019,10:00:00,83,180,28.5,995.89,16.40,7.4,0.00,8.00,25.2,32.10
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1009.33,07-25-2019,10:00:00,56,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",30.9,1006.35,0.00,0.0,0.00,10.00,21.1,24.94
