WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,WindDirection,DewPoint,LandVisibility,StationPressure,MaximumTemperature,WindSpeed,AirTemperature,VaporPressure
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,52,07-10-2019,19:00:00,0.00,1005.61,0.00,240,20.3,10.00,984.27,35.0,11.1,31.3,23.83
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,63,07-10-2019,19:00:00,0.00,1006.04,0.00,230,23.6,12.00,988.81,36.7,11.1,31.5,29.07
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,68,07-10-2019,19:00:00,0.00,1005.10,0.00,230,24.3,10.00,989.51,34.0,5.6,31.0,30.33
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,58,07-10-2019,19:00:00,1.80,1005.00,1.80,000,21.6,10.00,986.39,35.6,0.0,30.9,25.74
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,73,07-10-2019,19:00:00,1.20,1007.99,0.00,000,21.1,10.00,956.80,28.2,0.0,26.2,24.95
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,77,07-10-2019,19:00:00,7.80,1006.22,0.00,000,26.8,8.00,1002.32,32.0,0.0,31.2,35.15
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,95,07-10-2019,19:00:00,11.70,1008.17,2.10,240,20.3,1.00,912.85,25.2,16.7,21.1,23.83
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,85,07-10-2019,19:00:00,1.60,1006.14,1.60,000,25.4,8.00,990.23,36.2,0.0,28.2,32.35
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,68,07-10-2019,19:00:00,0.01,1006.89,0.01,230,24.4,10.00,1002.91,34.4,3.7,31.0,30.61
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,67,07-10-2019,19:00:00,0.30,1007.16,0.00,000,24.7,7.00,996.64,33.7,0.0,31.5,31.06
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,70,07-10-2019,19:00:00,0.00,1006.71,0.00,000,25.4,10.00,1004.81,34.4,0.0,31.5,32.52
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,58,07-10-2019,19:00:00,0.00,1006.61,0.00,270,21.5,10.00,986.01,34.4,9.3,30.7,25.63
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,90,07-10-2019,19:00:00,14.40,1006.20,14.40,000,25.5,10.00,988.56,35.5,0.0,27.2,32.61
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,94,07-10-2019,19:00:00,8.00,1005.51,8.00,000,25.8,10.00,989.36,35.7,0.0,26.8,33.22
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,66,07-10-2019,19:00:00,7.00,1006.42,0.00,000,24.0,10.00,992.59,33.4,0.0,31.2,29.88
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,79,07-10-2019,19:00:00,47.60,1007.17,0.00,000,25.9,8.00,992.48,33.7,0.0,29.8,33.33
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,72,07-10-2019,19:00:00,4.10,1006.70,0.00,200,25.1,8.00,992.22,33.8,7.4,30.8,31.93
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,63,07-10-2019,19:00:00,0.00,1006.47,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",23.2,10.00,1003.49,35.4,0.0,31.2,28.48
