WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,DewPoint,WindSpeed,AirTemperature,WindDirection,StationPressure,Rainfall24Hr,VaporPressure
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-28-2019,13:00:00,20.00,67,1005.10,25.8,14.8,32.8,120,985.62,0.10,33.22
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-28-2019,13:00:00,15.00,70,1005.52,24.4,3.7,30.4,140,977.26,3.00,30.54
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-28-2019,13:00:00,15.00,64,1005.10,24.3,5.6,32.0,110,985.31,0.10,30.36
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-28-2019,13:00:00,15.00,72,1005.10,25.4,3.7,31.0,330,983.72,5.70,32.34
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,08-28-2019,13:00:00,15.00,69,1004.59,25.1,5.6,31.5,090,985.45,4.30,31.93
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,08-28-2019,13:00:00,12.00,75,1005.90,24.5,7.4,29.5,010,989.32,23.00,30.72
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,08-28-2019,13:00:00,12.00,69,1005.65,25.7,0.0,32.0,000,988.56,4.70,32.99
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-28-2019,13:00:00,13.00,68,1004.57,24.8,3.7,31.3,070,979.23,16.80,31.23
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-28-2019,13:00:00,10.00,73,1006.00,27.0,0.0,32.5,000,1000.32,10.00,35.60
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-28-2019,13:00:00,12.00,69,1005.82,25.5,0.0,32.0,000,999.74,24.10,32.69
