WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,AirTemperature,VaporPressure,Rainfall,LandVisibility,RelativeHumidity,StationPressure,MeanSeaLevelPressure,WindSpeed,Rainfall24Hr,DewPoint
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,270,08-04-2019,01:00:00,27.7,27.31,0.00,8.00,74,1006.83,1008.35,7.4,33.00,22.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,210,08-04-2019,01:00:00,28.3,30.04,0.00,10.00,78,1008.52,1009.43,3.7,28.20,24.1
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,08-04-2019,01:00:00,28.2,30.40,0.00,10.00,80,1008.07,1008.75,0.0,3.70,24.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,230,08-04-2019,01:00:00,25.5,30.17,0.00,7.00,93,1008.37,1009.17,3.7,2.60,24.2
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,08-04-2019,01:00:00,26.4,29.43,0.00,10.00,86,1007.87,1008.51,0.0,0.00,23.8
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,220,08-04-2019,01:00:00,27.0,29.48,0.00,10.00,83,1008.39,1008.80,7.4,0.00,23.8
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,08-04-2019,01:00:00,25.3,30.07,0.00,6.00,93,1006.56,1010.81,0.0,9.80,24.1
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,08-04-2019,01:00:00,25.8,31.00,0.00,8.00,93,1007.94,1009.56,0.0,2.00,24.6
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,08-04-2019,01:00:00,25.5,31.25,0.00,6.00,96,1006.44,1009.95,0.0,0.00,24.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,08-04-2019,01:00:00,25.7,30.01,0.00,8.00,91,1009.31,1010.67,0.0,0.00,24.1
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,240,08-04-2019,01:00:00,28.8,31.29,0.20,10.00,79,1008.91,1009.79,13.0,0.20,24.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,08-04-2019,01:00:00,26.5,30.97,0.00,10.00,89,1006.07,1009.64,0.0,0.00,24.6
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,08-04-2019,01:00:00,28.5,30.15,0.00,10.00,78,1009.04,1009.47,0.0,0.00,24.2
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,280,08-04-2019,01:00:00,29.5,30.72,0.00,10.00,75,1008.20,1009.18,5.6,0.00,24.5
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,280,08-04-2019,01:00:00,29.7,34.00,0.00,10.00,82,1008.73,1009.53,16.7,0.00,26.2
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,08-04-2019,01:00:00,26.4,31.88,0.00,10.00,93,1007.75,1009.57,0.0,0.00,25.1
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,200,08-04-2019,01:00:00,26.4,29.17,0.00,10.00,85,1009.00,1009.75,3.7,0.00,23.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,240,08-04-2019,01:00:00,25.7,30.01,0.00,10.00,91,1005.90,1009.92,3.7,0.00,24.1
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,08-04-2019,01:00:00,26.0,31.65,0.00,10.00,94,1009.60,1010.29,0.0,0.00,25.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,08-04-2019,01:00:00,26.2,31.49,0.00,10.00,93,1008.64,1009.76,0.0,0.00,24.9
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,08-04-2019,01:00:00,26.0,30.84,0.00,10.00,92,1006.88,1009.82,0.0,0.00,24.6
