WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,DewPoint,RelativeHumidity,LandVisibility,StationPressure,WindDirection,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,VaporPressure
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,10-04-2019,01:00:00,26.8,25.2,91,8.00,1005.70,000,0.40,0.0,1010.88,32.10
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,10-04-2019,01:00:00,26.0,24.3,90,7.00,1010.83,000,0.00,0.0,1011.24,30.30
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,10-04-2019,01:00:00,25.5,24.0,92,8.00,1008.44,000,0.00,0.0,1011.24,29.91
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-04-2019,01:00:00,25.7,22.9,85,10.00,1010.32,000,0.00,0.0,1011.11,27.90
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,10-04-2019,01:00:00,25.2,23.0,88,7.00,1010.57,080,0.00,7.4,1011.03,28.06
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,10-04-2019,01:00:00,25.3,24.1,93,8.00,1010.90,000,0.00,0.0,1011.59,30.07
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,10-04-2019,01:00:00,24.4,23.5,95,8.00,1010.21,000,2.40,0.0,1011.76,28.97
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,10-04-2019,01:00:00,25.5,23.9,91,10.00,1011.08,000,0.00,0.0,1012.00,29.64
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-04-2019,01:00:00,27.5,23.9,81,10.00,1011.30,000,0.00,0.0,1011.99,29.60
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,10-04-2019,01:00:00,23.8,23.1,96,8.00,1011.28,000,0.00,0.0,1012.09,28.18
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-04-2019,01:00:00,24.9,24.2,96,10.00,1010.41,000,0.00,0.0,1011.05,30.13
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,10-04-2019,01:00:00,23.8,23.1,96,10.00,1011.58,000,62.20,0.0,1011.99,28.18
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,10-04-2019,01:00:00,23.0,22.4,96,5.00,1009.67,000,63.10,0.0,1013.97,27.07
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,10-04-2019,01:00:00,24.2,23.9,98,6.00,1008.84,000,18.20,0.0,1010.47,29.66
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,10-04-2019,01:00:00,24.5,23.8,96,6.00,1008.50,000,2.00,0.0,1012.02,29.41
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,10-04-2019,01:00:00,24.7,24.1,97,8.00,1010.48,000,0.00,0.0,1011.85,30.03
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,10-04-2019,01:00:00,24.2,23.6,97,10.00,1010.95,000,22.00,0.0,1011.85,29.13
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,10-04-2019,01:00:00,27.2,24.6,86,10.00,1010.81,000,0.00,0.0,1011.25,30.94
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.01,10-04-2019,01:00:00,26.4,25.3,93,10.00,1010.01,000,9.40,0.0,1011.01,32.15
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.80,10-04-2019,01:00:00,25.3,24.3,94,10.00,1010.92,100,3.80,9.3,1011.75,30.34
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,10-04-2019,01:00:00,24.0,23.6,97,10.00,1009.95,000,36.20,0.0,1011.79,29.04
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.01,10-04-2019,01:00:00,25.3,23.4,89,10.00,1011.09,000,0.01,0.0,1011.85,28.75
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.01,10-04-2019,01:00:00,24.4,23.7,96,10.00,1008.21,000,13.80,0.0,1012.26,29.23
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,10-04-2019,01:00:00,25.5,24.3,93,10.00,1011.49,000,25.30,0.0,1012.18,30.44
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,10-04-2019,01:00:00,25.3,23.8,92,10.00,1010.69,000,0.00,0.0,1011.81,29.54
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,10-04-2019,01:00:00,25.2,24.6,97,10.00,1009.32,000,6.60,0.0,1012.27,30.96
