WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,WindSpeed,DewPoint,VaporPressure,Rainfall,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,StationPressure,WindDirection
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.8,08-09-2019,22:00:00,8.00,0.0,26.4,34.36,0.50,98,17.20,1000.92,994.76,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.6,08-09-2019,22:00:00,10.00,0.0,25.0,31.71,0.00,91,0.01,1002.72,986.33,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.5,08-09-2019,22:00:00,10.00,3.7,24.0,29.91,0.00,92,0.70,1002.32,980.00,150
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.6,08-09-2019,22:00:00,6.00,14.8,24.6,30.89,0.00,84,2.50,1002.82,988.53,270
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,26.2,08-09-2019,22:00:00,6.00,0.0,25.5,32.59,0.00,96,5.80,1002.05,985.71,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.3,08-09-2019,22:00:00,10.00,0.0,25.1,31.96,0.00,93,1.30,1002.37,997.15,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,27.1,08-09-2019,22:00:00,10.00,0.0,25.7,32.97,0.00,92,5.20,1001.00,987.89,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.0,08-09-2019,22:00:00,11.00,5.6,25.4,32.52,0.01,86,0.01,1002.08,992.83,120
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.2,08-09-2019,22:00:00,8.00,3.7,25.2,32.04,1.80,94,1.90,1002.22,980.58,130
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,26.2,08-09-2019,22:00:00,10.00,0.0,25.3,32.32,0.00,95,0.60,1002.49,985.03,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.0,08-09-2019,22:00:00,10.00,3.7,24.8,31.38,0.01,88,3.00,1002.01,986.26,200
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.3,08-09-2019,22:00:00,8.00,0.0,25.0,31.68,1.10,93,32.50,1001.14,982.33,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.4,08-09-2019,22:00:00,5.00,0.0,22.2,26.75,2.00,93,18.40,1003.99,952.55,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,27.0,08-09-2019,22:00:00,6.00,0.0,25.4,32.49,0.01,91,5.00,1002.17,998.23,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.3,08-09-2019,22:00:00,.30,7.4,21.1,25.07,1.00,99,6.80,1003.84,908.98,220
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.2,08-09-2019,22:00:00,6.00,0.0,25.0,31.76,0.00,93,0.40,1002.08,986.13,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.5,08-09-2019,22:00:00,7.00,0.0,25.3,32.34,0.20,99,39.60,1002.54,998.50,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.0,08-09-2019,22:00:00,6.00,0.0,24.4,30.58,0.70,97,25.00,1004.23,993.51,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.8,08-09-2019,22:00:00,6.00,3.7,24.6,31.00,2.30,93,3.80,1003.73,1001.80,090
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,28.0,08-09-2019,22:00:00,10.00,0.0,23.0,28.12,0.00,74,1.20,1002.66,981.96,000
