WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,AirTemperature,Rainfall24Hr,StationPressure,WindSpeed,DewPoint,RelativeHumidity,WindDirection,LandVisibility,MeanSeaLevelPressure,Rainfall
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,29.71,09-12-2019,16:00:00,34.2,0.00,1008.44,5.6,23.9,55,310,9.00,1009.22,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.68,09-12-2019,16:00:00,31.3,0.00,1008.40,7.4,23.3,63,210,10.00,1008.84,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,26.72,09-12-2019,16:00:00,32.0,0.00,998.94,0.0,22.2,56,000,10.00,1010.10,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.58,09-12-2019,16:00:00,34.0,1.40,1007.70,0.0,23.9,56,000,12.00,1008.69,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,31.11,09-12-2019,16:00:00,32.5,8.50,1007.00,3.7,24.7,64,320,11.00,1008.80,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,22.87,09-12-2019,16:00:00,33.1,0.10,1007.59,7.4,19.7,45,280,10.00,1008.34,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.16,09-12-2019,16:00:00,32.8,0.60,1008.00,9.3,22.5,55,260,10.00,1008.69,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,29.13,09-12-2019,16:00:00,34.9,20.50,1007.69,7.4,23.6,52,310,12.00,1008.38,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.13,09-12-2019,16:00:00,32.8,9.00,987.02,7.4,23.6,59,280,12.00,1007.79,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,30.86,09-12-2019,16:00:00,32.8,8.40,991.10,3.7,24.6,62,250,12.00,1007.51,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,29.58,09-12-2019,16:00:00,32.6,27.10,992.17,7.4,23.9,60,270,14.00,1008.32,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.45,09-12-2019,16:00:00,33.0,0.00,986.34,18.5,22.0,53,320,12.00,1007.79,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,28.41,09-12-2019,16:00:00,28.3,20.20,965.76,16.7,23.2,74,260,14.00,1008.90,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.00,09-12-2019,16:00:00,32.8,6.00,987.39,5.6,23.0,56,270,12.00,1007.57,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,30.94,09-12-2019,16:00:00,32.7,1.20,988.87,7.4,24.6,63,310,10.00,1009.35,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,31.76,09-12-2019,16:00:00,30.3,0.80,1008.52,5.6,25.0,74,190,10.00,1008.95,0.30
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,33.06,09-12-2019,16:00:00,33.0,40.10,1006.95,0.0,25.7,66,000,11.00,1008.34,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,30.90,09-12-2019,16:00:00,31.7,3.00,1003.32,0.0,24.6,66,000,10.00,1008.19,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.62,09-12-2019,16:00:00,33.8,0.00,1005.72,3.7,22.1,51,340,12.00,1008.95,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.86,09-12-2019,16:00:00,32.5,16.40,1007.81,5.6,22.3,55,260,10.00,1008.90,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,27.25,09-12-2019,16:00:00,34.4,7.60,1008.42,13.0,22.5,50,290,10.00,1008.71,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,28.51,09-12-2019,16:00:00,34.6,32.90,1008.01,7.4,23.2,52,220,10.00,1008.68,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,28.80,09-12-2019,16:00:00,33.2,1.80,1008.20,5.6,23.4,57,120,10.00,1008.68,0.00
