WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,AirTemperature,StationPressure,Rainfall,WindDirection,WindSpeed,LandVisibility,MeanSeaLevelPressure,RelativeHumidity,VaporPressure
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.6,08-22-2019,01:00:00,0.00,27.0,1002.45,0.00,000,0.0,10.00,1006.48,92,32.77
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.4,08-22-2019,01:00:00,0.60,25.4,997.19,0.01,000,0.0,7.00,1007.93,94,30.52
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.5,08-22-2019,01:00:00,3.30,26.2,1005.00,0.00,150,3.7,7.00,1006.93,90,30.67
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.3,08-22-2019,01:00:00,0.00,25.9,985.47,0.00,230,7.4,10.00,1006.39,81,26.97
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.3,08-22-2019,01:00:00,64.50,25.2,988.50,13.10,000,0.0,8.00,1006.25,95,30.42
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.9,08-22-2019,01:00:00,40.80,25.2,989.80,11.20,000,0.0,8.00,1006.04,98,31.49
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.1,08-22-2019,01:00:00,22.10,25.4,993.08,0.00,150,5.6,10.00,1007.19,92,29.99
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.3,08-22-2019,01:00:00,4.60,25.5,993.53,0.00,000,0.0,9.00,1008.45,93,30.44
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.9,08-22-2019,01:00:00,0.10,27.2,992.25,0.00,220,11.1,6.00,1006.91,87,31.49
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.1,08-22-2019,01:00:00,0.01,27.1,1003.20,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,10.00,1006.21,89,31.85
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,23.5,08-22-2019,01:00:00,0.00,25.1,998.65,0.00,000,0.0,7.00,1006.64,91,28.92
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.0,08-22-2019,01:00:00,14.20,26.0,1006.41,0.00,000,0.0,6.00,1007.52,94,31.65
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,23.5,08-22-2019,01:00:00,0.00,27.0,992.07,0.00,000,0.0,8.00,1006.76,81,28.94
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.0,08-22-2019,01:00:00,1.00,19.2,873.33,0.00,200,7.4,.05,1008.66,99,22.01
