WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,Rainfall24Hr,WindSpeed,VaporPressure,AirTemperature,Rainfall,LandVisibility,StationPressure,MeanSeaLevelPressure,WindDirection
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.3,08-05-2019,16:00:00,65,0.00,13.0,30.32,31.7,0.00,10.00,987.99,1002.37,270
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.1,08-05-2019,16:00:00,82,8.70,0.0,31.90,28.4,0.10,10.00,999.93,1002.92,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,22.7,08-05-2019,16:00:00,61,0.00,11.1,27.65,31.2,0.00,10.00,995.09,1002.90,160
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,22.2,08-05-2019,16:00:00,56,2.10,7.4,26.72,32.0,0.00,9.00,1002.16,1003.25,180
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,25.5,08-05-2019,16:00:00,67,0.00,3.7,32.58,32.5,0.00,8.00,987.48,1001.83,200
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.8,08-05-2019,16:00:00,97,11.60,7.4,23.12,20.3,0.00,2.00,870.69,1005.08,200
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.2,08-05-2019,16:00:00,64,19.60,0.0,30.16,31.9,0.00,10.00,997.29,1003.05,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,26.4,08-05-2019,16:00:00,78,2.20,7.4,34.44,30.6,1.20,8.00,1002.85,1003.64,060
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,23.7,08-05-2019,16:00:00,71,2.50,20.4,29.33,29.5,0.00,10.00,1003.39,1003.83,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.9,08-05-2019,16:00:00,88,25.30,0.0,33.37,28.0,0.80,6.00,992.18,1003.41,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.9,08-05-2019,16:00:00,67,3.70,0.0,29.73,30.7,0.00,12.00,1002.34,1003.33,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,22.5,08-05-2019,16:00:00,59,0.01,11.1,27.21,31.4,0.00,8.00,1001.62,1003.41,160
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.1,08-05-2019,16:00:00,63,1.30,7.4,28.29,31.1,0.00,9.00,1002.18,1002.93,200
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.3,08-05-2019,16:00:00,71,7.60,24.1,30.31,30.0,0.00,10.00,1003.38,1004.07,200
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.2,08-05-2019,16:00:00,63,0.20,5.6,32.00,33.2,0.00,7.00,1001.74,1002.43,240
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.3,08-05-2019,16:00:00,51,0.00,11.1,28.63,34.8,0.00,12.00,981.37,1001.89,260
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,22.2,08-05-2019,16:00:00,54,0.00,5.6,26.69,32.7,0.00,11.00,985.57,1001.90,240
