WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,WindSpeed,AirTemperature,LandVisibility,MeanSeaLevelPressure,Rainfall,Rainfall24Hr,RelativeHumidity,DewPoint,WindDirection,StationPressure
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,31.68,08-08-2019,01:00:00,0.0,25.3,10.00,1005.16,1.00,3.80,98,25.0,000,999.35
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,30.32,08-08-2019,01:00:00,0.0,25.0,7.00,1004.41,1.00,2.60,96,24.3,000,998.19
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.08,08-08-2019,01:00:00,0.0,26.5,8.00,1005.28,0.00,2.20,84,23.6,000,988.85
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.50,08-08-2019,01:00:00,3.7,23.7,7.00,1005.61,6.00,26.20,94,22.7,160,983.08
48376,TAK,ตาก,ตาก,16.87833,99.14333,29.15,08-08-2019,01:00:00,0.0,24.5,5.00,1006.05,3.20,22.70,95,23.6,000,991.56
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,29.04,08-08-2019,01:00:00,0.0,24.0,7.00,1005.52,1.60,10.80,97,23.6,000,989.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,30.84,08-08-2019,01:00:00,0.0,26.0,8.00,1006.12,0.50,1.90,92,24.6,000,1000.88
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,31.11,08-08-2019,01:00:00,0.0,27.0,10.00,1003.92,0.00,0.00,87,24.7,000,990.77
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,31.25,08-08-2019,01:00:00,0.0,25.5,4.00,1005.54,4.20,7.50,96,24.8,000,996.18
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,25.59,08-08-2019,01:00:00,11.1,28.2,10.00,1003.35,0.00,0.00,67,21.5,270,981.83
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.77,08-08-2019,01:00:00,5.6,26.5,10.00,1003.64,0.00,0.00,80,22.8,210,986.17
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,29.60,08-08-2019,01:00:00,0.0,27.5,10.00,1001.50,0.00,0.00,81,23.9,000,985.78
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.04,08-08-2019,01:00:00,0.0,28.3,8.00,1002.33,0.00,0.00,78,24.1,000,983.62
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,25.76,08-08-2019,01:00:00,0.0,22.8,5.00,1006.33,1.30,12.60,93,21.6,000,954.66
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,33.06,08-08-2019,01:00:00,3.7,27.0,5.00,1005.37,2.90,2.90,93,25.7,340,1001.42
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.20,08-08-2019,01:00:00,9.3,20.2,1.20,1006.45,3.70,11.50,98,19.9,210,911.01
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,29.22,08-08-2019,01:00:00,5.6,28.3,7.00,1002.84,0.00,3.30,76,23.7,240,986.99
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,33.75,08-08-2019,01:00:00,0.0,26.5,7.00,1005.80,0.70,0.90,98,26.1,000,1001.76
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.30,08-08-2019,01:00:00,0.0,26.0,8.00,1006.99,0.30,0.60,90,24.3,000,996.28
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.84,08-08-2019,01:00:00,1.9,26.0,9.00,1006.26,1.30,1.70,92,24.6,190,1004.32
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,28.22,08-08-2019,01:00:00,9.3,28.2,10.00,1004.26,0.00,0.00,74,23.1,220,983.55
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.85,08-08-2019,01:00:00,14.8,28.9,10.00,1002.35,0.00,0.00,67,22.3,250,984.88
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.62,08-08-2019,01:00:00,5.6,29.5,10.00,1002.45,0.00,0.00,65,22.1,250,986.50
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,28.92,08-08-2019,01:00:00,7.4,26.7,10.00,1003.10,0.00,0.50,83,23.5,240,989.10
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,31.00,08-08-2019,01:00:00,0.0,25.8,7.00,1003.64,0.00,0.00,93,24.6,000,988.81
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,30.97,08-08-2019,01:00:00,5.6,26.5,6.00,1003.86,0.00,3.50,89,24.6,260,989.21
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.60,08-08-2019,01:00:00,0.0,26.4,10.00,1005.47,2.20,2.30,92,25.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1002.45
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,30.56,08-08-2019,01:00:00,5.6,28.0,7.00,1005.05,0.01,0.01,81,24.4,220,997.15
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,30.84,08-08-2019,01:00:00,7.4,26.0,8.00,1006.25,0.20,0.40,92,24.6,200,1005.14
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,29.64,08-08-2019,01:00:00,0.0,26.8,8.00,1005.95,0.00,0.00,84,23.9,000,991.27
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,22.28,08-08-2019,01:00:00,5.6,19.4,.05,1006.93,0.00,2.80,99,19.2,270,871.91
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,29.52,08-08-2019,01:00:00,0.0,27.6,10.00,1005.64,0.00,0.00,80,23.8,000,999.78
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,29.60,08-08-2019,01:00:00,7.4,27.5,7.00,1006.30,0.60,0.80,81,23.9,240,1005.50
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.58,08-08-2019,01:00:00,0.0,25.0,4.00,1007.76,1.50,9.40,97,24.4,000,996.38
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,31.79,08-08-2019,01:00:00,0.0,26.5,10.00,1006.62,0.40,0.70,92,25.1,000,1005.61
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,31.44,08-08-2019,01:00:00,0.0,26.6,7.00,1006.14,0.80,1.20,90,24.9,000,1004.32
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,29.76,08-08-2019,01:00:00,0.0,26.0,7.00,1005.96,0.20,0.20,89,24.0,000,1005.19
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.35,08-08-2019,01:00:00,13.0,27.4,10.00,1006.65,0.01,0.80,78,23.2,300,1005.95
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,32.12,08-08-2019,01:00:00,0.0,27.8,7.00,1005.96,0.50,0.60,86,25.2,000,1005.26
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,28.68,08-08-2019,01:00:00,5.6,28.3,10.00,1004.90,0.00,0.00,75,23.3,270,983.89
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,28.00,08-08-2019,01:00:00,3.7,28.8,7.00,1003.84,0.00,0.00,71,22.9,240,987.28
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,28.35,08-08-2019,01:00:00,11.1,28.7,6.00,1004.56,0.00,0.00,72,23.2,230,988.26
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.55,08-08-2019,01:00:00,3.7,28.3,10.00,1005.07,0.00,0.00,69,22.1,240,983.35
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.36,08-08-2019,01:00:00,9.3,25.4,12.00,1006.05,0.00,0.20,81,22.0,220,962.63
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.02,08-08-2019,01:00:00,9.3,27.8,10.00,1004.58,0.00,0.01,75,23.0,250,984.13
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,30.28,08-08-2019,01:00:00,9.3,28.0,8.00,1005.69,0.00,0.00,80,24.3,240,984.97
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,31.58,08-08-2019,01:00:00,5.6,27.1,9.00,1006.75,0.20,0.30,88,24.9,030,1006.31
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,33.02,08-08-2019,01:00:00,0.0,26.7,6.00,1005.84,0.01,3.20,94,25.7,000,1004.43
