WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,VaporPressure,LandVisibility,Rainfall24Hr,RelativeHumidity,DewPoint,MinimumTemperature,MeanSeaLevelPressure,StationPressure,WindDirection,AirTemperature
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-02-2019,07:00:00,11.1,24.12,13.00,0.30,69,20.5,26.2,1003.61,975.05,340,26.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-02-2019,07:00:00,3.7,28.67,15.00,0.60,88,23.3,24.6,1003.14,982.95,250,25.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-02-2019,07:00:00,3.7,26.94,15.00,8.40,85,22.3,24.6,1003.20,981.43,220,25.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,08-02-2019,07:00:00,7.4,28.06,12.00,2.70,88,23.0,24.7,1002.83,983.32,220,25.2
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,08-02-2019,07:00:00,0.0,29.99,11.00,22.80,92,24.1,24.8,1003.23,986.47,000,25.4
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,08-02-2019,07:00:00,0.0,28.34,12.00,2.20,85,23.2,24.0,1003.35,985.95,000,25.8
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-02-2019,07:00:00,3.7,29.15,9.00,0.01,95,23.6,24.1,1002.94,977.07,020,24.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-02-2019,07:00:00,7.4,31.25,10.00,1.30,96,24.8,23.6,1004.21,998.41,160,25.5
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-02-2019,07:00:00,0.0,30.96,8.00,1.10,97,24.6,25.0,1004.99,998.77,000,25.2
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-02-2019,07:00:00,0.0,25.84,10.00,0.40,84,21.6,23.0,1005.57,989.02,000,24.5
