WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,MaximumTemperature,MeanSeaLevelPressure,StationPressure,LandVisibility,AirTemperature,RelativeHumidity,DewPoint,Rainfall,Rainfall24Hr,VaporPressure
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,22.2,08-10-2019,19:00:00,210,33.3,1001.16,999.76,10.00,28.4,78,24.2,0.01,1.60,30.23
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,29.6,08-10-2019,19:00:00,210,31.0,1002.69,1001.03,10.00,28.5,81,24.9,0.00,0.00,31.54
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,7.4,08-10-2019,19:00:00,180,33.3,1003.44,995.50,10.00,28.3,79,24.3,0.00,0.00,30.31
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,08-10-2019,19:00:00,000,32.5,1001.56,1001.28,10.00,29.0,83,25.8,0.00,4.50,33.12
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,5.6,08-10-2019,19:00:00,260,31.5,1001.94,998.84,10.00,29.0,76,24.4,0.00,0.00,30.57
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,9.3,08-10-2019,19:00:00,270,30.5,1002.33,995.46,10.00,28.5,81,24.9,0.00,0.60,31.54
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,08-10-2019,19:00:00,000,37.4,1002.37,996.80,8.00,27.1,90,25.4,0.90,1.20,32.41
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,13.0,08-10-2019,19:00:00,250,30.4,1002.56,993.34,10.00,28.8,78,24.5,0.00,0.00,30.73
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,08-10-2019,19:00:00,000,31.6,1001.71,1000.46,6.00,27.5,83,24.3,0.20,1.70,30.42
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,16.7,08-10-2019,19:00:00,210,31.2,1001.79,1001.36,11.00,28.1,82,24.8,0.00,0.00,31.31
