WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,DewPoint,StationPressure,AirTemperature,VaporPressure,Rainfall24Hr,WindDirection,LandVisibility,WindSpeed,MeanSeaLevelPressure
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-21-2019,10:00:00,79,23.9,986.39,28.0,29.74,8.30,000,10.00,0.0,1008.66
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-21-2019,10:00:00,89,25.1,996.78,27.1,31.85,8.20,000,5.00,0.0,1011.21
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-21-2019,10:00:00,79,24.4,994.15,28.4,30.51,35.50,000,10.00,0.0,1010.51
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-21-2019,10:00:00,75,25.2,1005.06,30.2,32.13,7.90,290,10.00,9.3,1010.25
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-21-2019,10:00:00,77,24.8,995.16,29.4,31.36,20.30,000,12.00,0.0,1008.27
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-21-2019,10:00:00,83,25.3,1001.02,28.4,32.19,21.30,220,11.00,5.6,1010.33
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-21-2019,10:00:00,76,24.3,981.86,29.0,30.29,2.50,060,8.00,9.3,1003.32
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-21-2019,10:00:00,65,22.7,992.55,30.0,27.55,9.50,010,10.00,13.0,1009.93
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-21-2019,10:00:00,68,22.9,993.94,29.5,27.96,7.20,040,11.00,16.7,1009.68
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-21-2019,10:00:00,83,25.8,990.67,28.9,33.20,30.20,030,8.00,3.7,1009.48
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-21-2019,10:00:00,84,23.3,959.16,26.2,28.54,13.60,000,9.00,0.0,1010.47
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-21-2019,10:00:00,78,25.8,1005.93,30.0,33.17,4.00,000,7.00,0.0,1009.86
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-21-2019,10:00:00,94,21.1,915.55,22.2,25.05,1.90,040,2.00,14.8,1010.79
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-21-2019,10:00:00,77,24.1,993.88,28.6,30.07,17.50,080,10.00,9.3,1009.82
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1.20,09-21-2019,10:00:00,94,25.9,1006.59,27.0,33.34,23.30,190,10.00,3.7,1010.64
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,5.00,09-21-2019,10:00:00,95,25.5,1000.38,26.4,32.71,58.80,000,9.00,0.0,1011.12
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,5.30,09-21-2019,10:00:00,92,24.1,1009.13,25.4,29.99,12.20,300,4.00,3.7,1011.07
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-21-2019,10:00:00,72,23.3,989.38,29.0,28.64,16.60,020,10.00,5.6,1010.17
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-21-2019,10:00:00,76,24.0,992.10,28.8,29.90,25.40,060,10.00,13.0,1009.71
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-21-2019,10:00:00,76,25.1,993.44,29.8,31.89,20.10,000,10.00,0.0,1009.49
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.30,09-21-2019,10:00:00,72,24.2,995.82,29.8,30.19,53.80,060,10.00,5.6,1009.76
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-21-2019,10:00:00,75,24.5,995.64,29.5,30.72,77.40,000,10.00,0.0,1010.40
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-21-2019,10:00:00,84,24.6,996.06,27.5,30.97,38.70,030,9.00,9.3,1010.76
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1.30,09-21-2019,10:00:00,89,24.7,1007.14,26.7,31.08,8.90,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",9.00,0.0,1010.17
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-21-2019,10:00:00,76,24.4,1002.17,29.1,30.49,2.80,000,10.00,0.0,1010.09
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.90,09-21-2019,10:00:00,93,25.3,1009.12,26.6,32.26,0.90,310,1.00,9.3,1010.23
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-21-2019,10:00:00,82,24.5,992.24,27.8,30.72,10.70,080,9.00,3.7,1006.88
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,2.00,09-21-2019,10:00:00,97,19.5,875.20,20.0,22.68,14.20,000,5.00,0.0,1010.44
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-21-2019,10:00:00,87,25.3,1004.53,27.7,32.20,5.00,000,10.00,0.0,1010.42
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-21-2019,10:00:00,78,24.7,1009.24,29.0,31.13,18.10,100,9.00,7.4,1010.04
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-21-2019,10:00:00,73,23.9,1009.04,29.2,29.57,36.80,120,10.00,3.7,1009.48
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-21-2019,10:00:00,84,24.6,999.06,27.5,30.97,49.20,000,5.00,0.0,1010.39
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-21-2019,10:00:00,93,24.5,1009.39,25.8,30.73,11.70,030,10.00,3.7,1010.41
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,21.30,09-21-2019,10:00:00,97,24.9,1008.62,25.5,31.52,29.80,000,6.00,0.0,1010.46
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-21-2019,10:00:00,87,26.5,1009.17,28.9,34.66,50.50,000,8.00,0.0,1009.93
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-21-2019,10:00:00,81,25.5,1009.23,29.0,32.55,7.80,110,9.00,5.6,1009.93
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1.30,09-21-2019,10:00:00,88,24.0,1008.90,26.2,29.86,1.30,000,6.00,0.0,1009.60
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1.10,09-21-2019,10:00:00,86,24.2,988.88,26.8,30.18,13.20,030,10.00,7.4,1010.11
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.01,09-21-2019,10:00:00,80,24.4,992.81,28.1,30.48,14.30,050,8.00,7.4,1009.50
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-21-2019,10:00:00,84,24.8,993.81,27.7,31.36,8.20,050,10.00,7.4,1010.25
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.50,09-21-2019,10:00:00,83,24.5,987.96,27.7,30.81,14.60,090,10.00,3.7,1009.82
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.30,09-21-2019,10:00:00,80,22.8,966.42,26.5,27.77,35.00,060,14.00,11.1,1009.85
