WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,LandVisibility,Rainfall,DewPoint,StationPressure,RelativeHumidity,Rainfall24Hr,WindSpeed,AirTemperature,VaporPressure
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,270,07-24-2019,16:00:00,1003.19,13.00,0.00,22.4,977.82,62,4.80,13.0,30.5,27.14
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,07-24-2019,16:00:00,1005.82,10.00,2.50,22.5,1000.14,57,2.90,0.0,32.0,27.27
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,220,07-24-2019,16:00:00,1005.06,12.00,0.00,22.7,998.98,58,3.70,11.1,32.0,27.55
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,07-24-2019,16:00:00,1004.90,10.00,0.00,24.0,988.69,68,4.00,0.0,30.5,29.89
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,240,07-24-2019,16:00:00,1005.11,10.00,0.20,22.9,982.87,76,35.30,5.6,27.5,28.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,260,07-24-2019,16:00:00,1005.92,10.00,0.00,22.1,991.71,61,2.30,16.7,30.5,26.60
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,120,07-24-2019,16:00:00,1004.65,7.00,0.00,22.9,988.53,61,2.00,11.1,31.2,27.93
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,200,07-24-2019,16:00:00,1005.34,10.00,0.00,24.8,1000.20,67,1.20,5.6,31.6,31.27
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,07-24-2019,16:00:00,1003.75,10.00,0.00,24.9,990.73,74,4.70,0.0,30.2,31.56
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,300,07-24-2019,16:00:00,1005.27,10.00,0.00,23.2,996.12,59,2.90,1.9,32.3,28.41
