WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,AirTemperature,MeanSeaLevelPressure,RelativeHumidity,MinimumTemperature,Rainfall24Hr,WindDirection,VaporPressure,DewPoint,StationPressure,Rainfall,WindSpeed
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,8.00,09-04-2019,07:00:00,25.0,1005.31,97,24.1,8.60,000,30.85,24.6,986.75,0.00,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,09-04-2019,07:00:00,24.5,1005.53,97,24.0,11.40,000,29.67,23.9,982.60,0.00,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10.00,09-04-2019,07:00:00,23.5,1005.64,96,23.4,8.80,000,27.66,22.8,975.52,0.00,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,09-04-2019,07:00:00,24.7,1007.31,98,24.5,1.00,000,30.56,24.4,971.63,0.00,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,12.00,09-04-2019,07:00:00,24.0,1003.71,98,23.6,0.20,000,29.30,23.7,973.87,0.00,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,14.00,09-04-2019,07:00:00,25.5,1005.30,96,25.5,3.50,000,31.25,24.8,997.98,0.00,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,15.00,09-04-2019,07:00:00,26.1,1002.37,91,25.7,0.60,250,30.76,24.5,982.52,0.00,14.8
48353,LOEI,เลย,เลย,17.45000,101.73333,12.00,09-04-2019,07:00:00,25.0,1004.09,92,24.7,0.20,350,29.00,23.5,975.37,0.00,3.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,13.00,09-04-2019,07:00:00,26.1,1002.93,96,25.5,2.10,260,32.40,25.4,982.79,0.00,14.8
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10.00,09-04-2019,07:00:00,26.0,1002.35,88,24.6,34.50,000,29.50,23.8,980.67,0.00,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,15.00,09-04-2019,07:00:00,26.0,1001.61,88,24.4,36.70,320,29.50,23.8,982.18,0.00,5.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,9.00,09-04-2019,07:00:00,25.7,1002.13,96,25.0,37.80,000,31.63,25.0,985.40,0.80,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,8.00,09-04-2019,07:00:00,25.5,1002.37,96,24.5,51.30,000,31.25,24.8,984.97,1.70,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,9.00,09-04-2019,07:00:00,24.5,1003.28,100,24.3,3.00,000,30.73,24.5,977.40,0.01,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,09-04-2019,07:00:00,25.4,1005.31,93,24.1,0.00,300,30.25,24.2,999.50,0.00,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,12.00,09-04-2019,07:00:00,25.0,1005.01,93,24.5,0.20,000,29.52,23.8,998.79,0.00,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,09-04-2019,07:00:00,25.5,1005.74,93,23.4,0.40,000,30.17,24.2,989.25,0.00,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.00,09-04-2019,07:00:00,23.5,1005.79,96,22.7,8.60,000,27.66,22.8,983.24,0.30,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,8.00,09-04-2019,07:00:00,26.0,1006.50,80,25.2,0.00,290,26.88,22.3,992.07,0.00,5.6
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,8.00,09-04-2019,07:00:00,25.0,1005.95,97,25.0,0.00,000,30.58,24.4,989.48,0.00,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,09-04-2019,07:00:00,26.0,1005.41,96,25.0,0.20,000,32.20,25.3,1000.18,0.00,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.00,09-04-2019,07:00:00,24.8,1004.09,93,24.3,3.60,000,29.16,23.6,990.84,0.00,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,12.00,09-04-2019,07:00:00,25.2,1005.48,88,24.4,0.20,310,28.06,23.0,996.12,0.00,3.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,8.00,09-04-2019,07:00:00,24.3,1003.65,98,23.7,15.90,240,29.84,24.0,981.85,0.00,7.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10.00,09-04-2019,07:00:00,25.0,1003.79,96,23.0,29.60,000,30.32,24.3,986.23,0.00,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,7.00,09-04-2019,07:00:00,25.0,1001.71,96,23.7,52.90,250,30.32,24.3,985.86,1.40,7.4
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.00,09-04-2019,07:00:00,24.9,1002.70,95,24.4,15.00,000,29.87,24.0,983.77,0.00,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,7.00,09-04-2019,07:00:00,22.2,1006.63,96,21.0,12.20,000,25.77,21.6,954.85,0.00,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,8.00,09-04-2019,07:00:00,26.0,1005.16,96,25.0,0.00,000,32.20,25.3,1001.19,0.00,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,.90,09-04-2019,07:00:00,20.1,1007.39,97,19.4,4.20,250,22.83,19.6,911.84,0.20,7.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,8.00,09-04-2019,07:00:00,24.7,1003.24,98,23.9,63.40,000,30.56,24.4,987.19,0.10,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10.00,09-04-2019,07:00:00,25.2,1005.93,96,24.4,0.20,000,30.69,24.5,1001.87,0.00,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,8.00,09-04-2019,07:00:00,25.2,1006.91,93,24.0,1.00,000,29.89,24.0,996.17,0.00,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,9.00,09-04-2019,07:00:00,25.0,1006.79,93,24.5,1.60,000,29.52,23.8,1004.85,0.00,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,09-04-2019,07:00:00,24.0,1005.02,95,22.6,9.00,250,28.27,23.1,984.00,0.00,3.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,09-04-2019,07:00:00,24.5,1003.29,96,24.0,61.50,240,29.41,23.8,985.55,12.00,5.6
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,09-04-2019,07:00:00,24.5,1002.86,97,24.3,57.10,240,29.93,24.1,986.63,3.30,11.1
