WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,WindSpeed,VaporPressure,Rainfall,DewPoint,MaximumTemperature,AirTemperature,StationPressure,RelativeHumidity,WindDirection,Rainfall24Hr
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.22,07-23-2019,19:00:00,10.00,0.0,27.88,0.00,22.9,33.2,29.6,1007.31,67,000,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1006.84,07-23-2019,19:00:00,12.00,0.0,28.51,0.00,23.2,35.4,31.5,1006.17,62,000,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1007.46,07-23-2019,19:00:00,10.00,3.7,27.88,0.00,22.9,35.5,29.6,1006.67,67,260,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.37,07-23-2019,19:00:00,10.00,0.0,32.67,0.00,25.5,34.6,30.6,1006.75,74,000,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.55,07-23-2019,19:00:00,10.00,0.0,31.84,0.00,25.1,34.7,30.2,1007.15,74,000,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1008.82,07-23-2019,19:00:00,6.00,0.0,32.34,0.00,25.4,35.0,31.0,1004.66,72,000,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.53,07-23-2019,19:00:00,12.00,0.0,31.82,0.00,25.1,34.0,28.5,1005.93,82,000,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.98,07-23-2019,19:00:00,10.00,0.0,32.59,0.00,25.5,34.5,30.0,1004.53,77,000,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.92,07-23-2019,19:00:00,10.00,0.0,32.52,0.00,25.4,34.3,28.0,1006.57,86,000,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.70,07-23-2019,19:00:00,10.00,0.0,30.63,0.00,24.4,32.5,29.6,1006.83,74,000,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.02,07-23-2019,19:00:00,10.00,0.0,29.17,0.00,23.6,32.8,27.7,1004.47,79,000,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1007.83,07-23-2019,19:00:00,10.00,0.0,32.22,0.00,25.3,32.7,29.4,1007.39,79,000,23.80
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.45,07-23-2019,19:00:00,10.00,0.0,32.84,0.00,25.6,32.4,27.6,1006.45,89,000,18.20
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.29,07-23-2019,19:00:00,10.00,0.0,29.36,0.00,23.7,32.2,27.8,1007.47,79,000,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.50,07-23-2019,19:00:00,8.00,0.0,31.38,6.70,24.8,33.1,26.0,1006.68,93,000,6.70
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.24,07-23-2019,19:00:00,11.00,5.6,31.08,0.00,24.7,33.5,29.4,1007.49,76,280,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1009.96,07-23-2019,19:00:00,10.00,3.7,32.33,0.01,25.3,35.9,27.2,1005.96,90,010,0.40
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.24,07-23-2019,19:00:00,10.00,0.0,33.37,0.00,25.9,31.8,29.4,1007.56,81,000,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.22,07-23-2019,19:00:00,10.00,0.0,32.36,0.00,25.4,34.0,27.5,1007.10,88,000,1.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.37,07-23-2019,19:00:00,10.00,0.0,35.71,0.00,27.0,34.0,28.7,1005.47,91,000,14.90
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1007.30,07-23-2019,19:00:00,7.00,0.0,33.41,0.00,25.9,34.4,29.0,1006.61,83,000,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1008.74,07-23-2019,19:00:00,7.00,3.7,30.15,18.50,24.2,35.4,25.2,1004.58,94,070,22.30
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1007.72,07-23-2019,19:00:00,10.00,7.4,28.91,0.00,23.5,33.0,30.0,1007.14,68,030,0.00
