WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,RelativeHumidity,Rainfall,AirTemperature,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,WindDirection,DewPoint,WindSpeed,VaporPressure,StationPressure
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,07-24-2019,10:00:00,87,0.00,27.1,34.00,1007.33,20.00,230,24.8,11.1,31.30,987.45
48353,LOEI,เลย,เลย,17.45000,101.73333,07-24-2019,10:00:00,83,0.01,26.8,2.50,1007.83,12.00,150,23.6,7.4,29.10,979.18
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,07-24-2019,10:00:00,79,0.01,27.5,3.10,1008.15,8.00,230,23.6,11.1,29.06,988.01
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,07-24-2019,10:00:00,87,1.80,26.8,21.60,1008.31,12.00,000,24.5,0.0,30.72,986.56
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,07-24-2019,10:00:00,89,2.60,26.9,40.60,1007.31,12.00,190,24.9,7.4,31.46,987.82
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,07-24-2019,10:00:00,92,1.40,25.4,52.70,1008.59,8.00,130,24.1,3.7,29.99,991.74
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,07-24-2019,10:00:00,95,1.80,25.2,43.20,1008.71,8.00,000,24.3,0.0,30.42,991.18
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,07-24-2019,10:00:00,93,1.80,25.4,3.80,1007.45,8.00,160,24.2,3.7,30.25,981.54
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,07-24-2019,10:00:00,82,0.00,28.3,0.40,1008.51,10.00,000,25.0,0.0,31.70,1002.74
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,07-24-2019,10:00:00,85,3.50,28.0,3.70,1008.50,8.00,230,25.1,5.6,31.95,1002.32
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,07-24-2019,10:00:00,84,0.60,26.5,4.00,1009.01,10.00,000,23.6,0.0,29.08,992.52
