WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,WindDirection,Rainfall24Hr,StationPressure,AirTemperature,WindSpeed,RelativeHumidity,Rainfall,VaporPressure,MeanSeaLevelPressure,DewPoint
48353,LOEI,เลย,เลย,17.45000,101.73333,07-24-2019,04:00:00,8.00,000,1.90,976.28,25.0,0.0,92,1.50,29.00,1005.03,23.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,07-24-2019,04:00:00,9.00,220,2.70,984.68,25.6,9.3,89,2.30,29.29,1004.88,23.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,07-24-2019,04:00:00,6.00,000,17.40,983.75,23.4,0.0,95,5.40,27.24,1005.69,22.5
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,07-24-2019,04:00:00,8.00,220,34.40,985.69,23.0,1.9,98,16.50,27.57,1005.39,22.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,07-24-2019,04:00:00,9.00,000,0.80,979.39,25.4,0.0,95,0.80,30.79,1005.24,24.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,07-24-2019,04:00:00,10.00,300,0.00,999.03,27.5,7.4,86,0.00,31.52,1004.79,24.9
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,07-24-2019,04:00:00,8.00,000,0.50,989.78,26.0,0.0,90,0.00,30.30,1006.26,24.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,07-24-2019,04:00:00,8.00,080,14.70,982.54,24.5,5.6,93,4.10,28.63,1005.00,23.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,07-24-2019,04:00:00,6.00,300,0.60,991.57,27.7,3.7,83,0.00,30.81,1005.91,24.5
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,07-24-2019,04:00:00,8.00,000,0.20,989.05,26.5,0.0,82,0.00,28.29,1005.43,23.1
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,07-24-2019,04:00:00,10.00,000,0.00,999.93,27.6,0.0,83,0.00,30.61,1005.14,24.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,07-24-2019,04:00:00,10.00,000,1.60,990.87,26.3,0.0,93,0.00,31.96,1004.06,25.1
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,07-24-2019,04:00:00,10.00,000,0.00,996.75,26.3,0.0,89,0.00,30.59,1006.08,24.4
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,07-24-2019,04:00:00,7.00,300,0.01,983.73,27.8,5.6,86,0.01,32.12,1005.32,25.2
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,07-24-2019,04:00:00,10.00,000,0.50,988.20,27.6,0.0,89,0.00,32.84,1005.64,25.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,07-24-2019,04:00:00,10.00,000,13.90,989.06,24.0,0.0,94,0.00,28.01,1005.02,23.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,07-24-2019,04:00:00,8.00,000,1.40,985.39,27.1,0.0,94,0.10,33.54,1004.21,26.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,07-24-2019,04:00:00,5.00,000,1.00,956.75,23.3,0.0,93,0.00,26.58,1008.44,22.1
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,07-24-2019,04:00:00,7.00,000,0.00,1000.99,27.7,0.0,87,0.00,32.20,1004.93,25.3
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,07-24-2019,04:00:00,3.00,230,0.90,911.31,21.0,11.1,93,0.40,23.23,1006.50,19.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,07-24-2019,04:00:00,6.00,000,22.50,989.38,25.6,0.0,99,0.00,32.53,1005.41,25.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,07-24-2019,04:00:00,10.00,000,0.10,1001.57,28.7,0.0,78,0.00,30.82,1005.58,24.5
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,07-24-2019,04:00:00,7.00,000,0.00,995.88,27.1,0.0,77,0.00,27.54,1006.55,22.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,07-24-2019,04:00:00,8.00,000,0.00,1004.10,27.5,0.0,88,0.00,32.36,1006.02,25.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,07-24-2019,04:00:00,8.00,000,0.01,985.06,28.0,0.0,80,0.01,30.28,1005.83,24.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,07-24-2019,04:00:00,10.00,000,3.50,987.64,25.2,0.0,94,1.00,30.15,1005.38,24.2
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,07-24-2019,04:00:00,10.00,160,5.60,989.12,24.7,5.6,99,3.00,30.83,1005.38,24.5
